Study Area,XRF_Setting,Sample_Type,Source_Zone,Source_Specific,Sample_ID,Rb_ppm,Sr_ppm,Y_ppm,Zr_ppm,Nb_ppm,,,,
Helena Bay,Green filter 40kv 8ma,Artefact,CVZ-N,Huruiki,HB_FS_21_57_42,151.9,39.9,35.3,172.9,13.4,,,,
Helena Bay,Green filter 40kv 8ma,Artefact,CVZ-N,Huruiki,HB_FS_21_57_43,152.8,44.3,37.2,173.3,14.3,,,,
Helena Bay,Green filter 40kv 8ma,Artefact,CVZ-N,Huruiki,HB_FS_21_57_44,154.2,43.2,37.6,187.8,14.4,,,,
Helena Bay,Green filter 40kv 8ma,Artefact,CVZ-N,Huruiki,HB_FS_21_57_45,155.7,36.0,38.6,163.6,11.9,,,,
Helena Bay,Green filter 40kv 8ma,Artefact,CVZ-N,Huruiki,HB_FS_21_57_46,157.6,40.3,38.8,182.7,14.1,,,,
Helena Bay,Green filter 40kv 8ma,Artefact,CVZ-N,Huruiki,HB_FS_21_57_47,126.6,34.0,33.6,149.6,11.3,,,,
Helena Bay,Green filter 40kv 8ma,Artefact,CVZ-N,Huruiki,HB_FS_21_57_48,163.2,38.8,41.5,190.9,12.8,,,,
Helena Bay,Green filter 40kv 8ma,Artefact,CVZ-N,Huruiki,HB_FS_21_57_49,139.0,34.9,33.2,153.1,12.0,,,,
Helena Bay,Green filter 40kv 8ma,Artefact,CVZ-N,Huruiki,HB_FS_21_57_5,115.8,30.0,31.7,143.6,14.2,,,,
Helena Bay,Green filter 40kv 8ma,Artefact,CVZ-N,Huruiki,HB_FS_21_57_50,140.3,35.8,35.8,151.7,12.8,,,,
Helena Bay,Green filter 40kv 8ma,Artefact,CVZ-N,Huruiki,HB_FS_21_57_51,153.1,44.8,35.9,177.2,11.2,,,,
Helena Bay,Green filter 40kv 8ma,Artefact,CVZ-N,Huruiki,HB_FS_21_57_52,163.3,39.9,40.8,159.4,8.8,,,,
Helena Bay,Green filter 40kv 8ma,Artefact,CVZ-N,Huruiki,HB_FS_21_57_53,180.9,39.7,45.2,187.3,9.6,,,,
Helena Bay,Green filter 40kv 8ma,Artefact,CVZ-N,Huruiki,HB_FS_21_57_54,159.1,38.7,42.1,181.4,10.5,,,,
Helena Bay,Green filter 40kv 8ma,Artefact,CVZ-N,Huruiki,HB_FS_21_57_55,148.9,36.6,36.3,169.8,10.9,,,,
Helena Bay,Green filter 40kv 8ma,Artefact,CVZ-N,Huruiki,HB_FS_21_57_56,148.0,37.6,39.4,170.9,11.3,,,,
Helena Bay,Green filter 40kv 8ma,Artefact,CVZ-N,Huruiki,HB_FS_21_57_57,139.4,42.5,36.5,157.4,11.8,,,,
Helena Bay,Green filter 40kv 8ma,Artefact,CVZ-N,Huruiki,HB_FS_21_57_58,152.9,42.2,35.6,182.2,12.5,,,,
Helena Bay,Green filter 40kv 8ma,Artefact,CVZ-N,Huruiki,HB_FS_21_57_59,135.8,38.1,35.4,153.5,11.1,,,,
Helena Bay,Green filter 40kv 8ma,Artefact,CVZ-N,Huruiki,HB_FS_21_57_6,131.7,36.4,35.9,170.5,12.3,,,,
Helena Bay,Green filter 40kv 8ma,Artefact,CVZ-N,Huruiki,HB_FS_21_57_60,167.8,37.4,40.3,181.2,11.3,,,,
Helena Bay,Green filter 40kv 8ma,Artefact,CVZ-N,Huruiki,HB_FS_21_57_62,126.0,35.8,39.4,148.2,11.2,,,,
Helena Bay,Green filter 40kv 8ma,Artefact,CVZ-N,Huruiki,HB_FS_21_57_63,156.4,40.5,37.6,167.9,10.2,,,,
Helena Bay,Green filter 40kv 8ma,Artefact,CVZ-N,Huruiki,HB_FS_21_57_64,178.0,44.4,40.3,184.7,10.2,,,,
Helena Bay,Green filter 40kv 8ma,Artefact,CVZ-N,Huruiki,HB_FS_21_57_65,153.2,46.2,37.4,181.2,11.6,,,,
Helena Bay,Green filter 40kv 8ma,Artefact,CVZ-N,Huruiki,HB_FS_21_57_66,171.8,44.8,46.5,175.9,11.9,,,,
Helena Bay,Green filter 40kv 8ma,Artefact,CVZ-N,Huruiki,HB_FS_21_57_67,157.0,41.9,42.3,178.0,15.1,,,,
Helena Bay,Green filter 40kv 8ma,Artefact,CVZ-N,Huruiki,HB_FS_21_57_68,153.0,38.6,38.3,168.4,10.9,,,,
Helena Bay,Green filter 40kv 8ma,Artefact,CVZ-N,Huruiki,HB_FS_21_57_69,146.9,39.6,37.7,161.5,9.9,,,,
Helena Bay,Green filter 40kv 8ma,Artefact,CVZ-N,Huruiki,HB_FS_21_57_7,142.4,36.8,39.6,169.7,12.0,,,,
Helena Bay,Green filter 40kv 8ma,Artefact,CVZ-N,Huruiki,HB_FS_21_57_70,161.5,44.9,41.0,191.0,12.2,,,,
Helena Bay,Green filter 40kv 8ma,Artefact,CVZ-N,Huruiki,HB_FS_21_57_71,172.7,41.0,35.5,191.3,13.1,,,,
Helena Bay,Green filter 40kv 8ma,Artefact,CVZ-N,Huruiki,HB_FS_21_57_72,188.3,54.7,38.0,194.8,11.3,,,,
Helena Bay,Green filter 40kv 8ma,Artefact,CVZ-N,Huruiki,HB_FS_21_57_73,164.9,47.9,46.2,180.6,13.5,,,,
Helena Bay,Green filter 40kv 8ma,Artefact,CVZ-N,Huruiki,HB_FS_21_57_74,150.2,41.5,42.3,167.3,12.6,,,,
Helena Bay,Green filter 40kv 8ma,Artefact,CVZ-N,Huruiki,HB_FS_21_57_75,98.7,32.9,29.0,78.9,7.6,,,,
Helena Bay,Green filter 40kv 8ma,Artefact,CVZ-N,Huruiki,HB_FS_21_57_76,111.0,33.8,35.4,130.6,10.9,,,,
Helena Bay,Green filter 40kv 8ma,Artefact,CVZ-N,Huruiki,HB_FS_21_57_77,104.3,36.3,38.4,98.3,10.0,,,,
Helena Bay,Green filter 40kv 8ma,Artefact,CVZ-N,Huruiki,HB_FS_21_57_8,133.8,40.8,40.4,160.3,11.7,,,,
Helena Bay,Green filter 40kv 8ma,Artefact,CVZ-N,Huruiki,HB_FS_21_57_9,139.7,38.6,37.7,176.4,11.5,,,,
Helena Bay,Green filter 40kv 8ma,Artefact,CVZ-N,Huruiki,HB_FS_21_59_1,104.2,28.8,30.3,134.6,11.5,,,,
Helena Bay,Green filter 40kv 8ma,Artefact,CVZ-N,Huruiki,HB_FS_21_59_10,145.0,40.3,32.9,184.9,10.6,,,,
Helena Bay,Green filter 40kv 8ma,Artefact,CVZ-N,Huruiki,HB_FS_21_59_100,166.1,41.5,45.9,182.6,11.6,,,,
Helena Bay,Green filter 40kv 8ma,Artefact,CVZ-N,Huruiki,HB_FS_21_59_101,185.7,49.6,42.6,188.5,13.8,,,,
Helena Bay,Green filter 40kv 8ma,Artefact,CVZ-N,Huruiki,HB_FS_21_59_102,147.4,42.5,40.5,177.8,11.1,,,,
Helena Bay,Green filter 40kv 8ma,Artefact,CVZ-N,Huruiki,HB_FS_21_59_103,158.6,42.6,39.5,170.2,14.5,,,,
Helena Bay,Green filter 40kv 8ma,Artefact,CVZ-N,Huruiki,HB_FS_21_59_104,156.0,43.0,43.9,167.3,13.4,,,,
Helena Bay,Green filter 40kv 8ma,Artefact,CVZ-N,Huruiki,HB_FS_21_59_105,123.0,31.3,39.5,160.8,8.5,,,,
Helena Bay,Green filter 40kv 8ma,Artefact,CVZ-N,Huruiki,HB_FS_21_59_106,135.5,37.7,37.1,159.5,13.4,,,,
Helena Bay,Green filter 40kv 8ma,Artefact,CVZ-N,Huruiki,HB_FS_21_59_107,140.8,34.9,38.7,161.5,11.7,,,,
Helena Bay,Green filter 40kv 8ma,Artefact,CVZ-N,Huruiki,HB_FS_21_59_108,134.8,37.4,39.6,168.9,12.7,,,,
Helena Bay,Green filter 40kv 8ma,Artefact,CVZ-N,Huruiki,HB_FS_21_59_109,151.7,42.9,38.2,182.3,14.8,,,,
Helena Bay,Green filter 40kv 8ma,Artefact,CVZ-N,Huruiki,HB_FS_21_59_11,140.8,44.4,33.7,162.8,11.4,,,,
Helena Bay,Green filter 40kv 8ma,Artefact,CVZ-N,Huruiki,HB_FS_21_59_110,135.7,35.2,40.7,186.4,10.8,,,,
Helena Bay,Green filter 40kv 8ma,Artefact,CVZ-N,Huruiki,HB_FS_21_59_111,164.4,46.5,39.2,170.3,11.3,,,,
Helena Bay,Green filter 40kv 8ma,Artefact,CVZ-N,Huruiki,HB_FS_21_59_112,151.9,39.5,43.3,163.1,9.6,,,,
Helena Bay,Green filter 40kv 8ma,Artefact,CVZ-N,Huruiki,HB_FS_21_59_113,187.9,44.9,45.7,184.6,11.8,,,,
Helena Bay,Green filter 40kv 8ma,Artefact,CVZ-N,Huruiki,HB_FS_21_59_115,158.2,40.2,38.7,166.5,14.7,,,,
Helena Bay,Green filter 40kv 8ma,Artefact,CVZ-N,Huruiki,HB_FS_21_59_116,158.9,44.2,38.0,173.1,11.6,,,,
Helena Bay,Green filter 40kv 8ma,Artefact,CVZ-N,Huruiki,HB_FS_21_59_117,141.9,36.7,34.5,148.4,12.2,,,,
Helena Bay,Green filter 40kv 8ma,Artefact,CVZ-N,Huruiki,HB_FS_21_59_118,190.9,51.3,46.8,181.8,12.9,,,,
Helena Bay,Green filter 40kv 8ma,Artefact,CVZ-N,Huruiki,HB_FS_21_59_119,131.5,38.6,41.2,158.7,11.9,,,,
Helena Bay,Green filter 40kv 8ma,Artefact,CVZ-N,Huruiki,HB_FS_21_59_12,132.0,33.6,30.7,160.7,12.6,,,,
Helena Bay,Green filter 40kv 8ma,Artefact,CVZ-N,Huruiki,HB_FS_21_59_120,149.2,38.8,36.1,152.0,10.0,,,,
Helena Bay,Green filter 40kv 8ma,Artefact,CVZ-N,Huruiki,HB_FS_21_59_121,129.6,36.2,41.6,152.7,8.3,,,,
Helena Bay,Green filter 40kv 8ma,Artefact,CVZ-N,Huruiki,HB_FS_21_59_122,140.8,39.4,34.3,143.9,6.6,,,,
Helena Bay,Green filter 40kv 8ma,Artefact,CVZ-N,Huruiki,HB_FS_21_59_123,134.9,40.1,39.0,130.9,13.9,,,,
Helena Bay,Green filter 40kv 8ma,Artefact,CVZ-N,Huruiki,HB_FS_21_59_13,141.0,41.5,35.7,163.6,14.1,,,,
Helena Bay,Green filter 40kv 8ma,Artefact,CVZ-N,Huruiki,HB_FS_21_59_14,142.3,42.1,38.6,165.0,12.2,,,,
Helena Bay,Green filter 40kv 8ma,Artefact,CVZ-N,Huruiki,HB_FS_21_59_15,141.4,38.8,35.8,167.0,11.6,,,,
Helena Bay,Green filter 40kv 8ma,Artefact,CVZ-N,Huruiki,HB_FS_21_59_16,151.3,36.7,42.7,176.2,10.8,,,,
Helena Bay,Green filter 40kv 8ma,Artefact,CVZ-N,Huruiki,HB_FS_21_59_17,143.8,37.7,38.2,178.2,12.7,,,,
Helena Bay,Green filter 40kv 8ma,Artefact,CVZ-N,Huruiki,HB_FS_21_59_18,132.8,34.8,36.0,170.6,13.1,,,,
Helena Bay,Green filter 40kv 8ma,Artefact,CVZ-N,Huruiki,HB_FS_21_59_19,136.0,37.8,37.0,165.4,12.3,,,,
Helena Bay,Green filter 40kv 8ma,Artefact,CVZ-N,Huruiki,HB_FS_21_59_2,135.9,38.4,40.4,163.5,8.8,,,,
Helena Bay,Green filter 40kv 8ma,Artefact,CVZ-N,Huruiki,HB_FS_21_59_20,124.3,34.9,33.4,147.4,9.2,,,,
Helena Bay,Green filter 40kv 8ma,Artefact,CVZ-N,Huruiki,HB_FS_21_59_21,135.9,35.3,31.5,179.9,11.5,,,,
Helena Bay,Green filter 40kv 8ma,Artefact,CVZ-N,Huruiki,HB_FS_21_59_22,151.8,36.5,36.8,166.6,10.5,,,,
Helena Bay,Green filter 40kv 8ma,Artefact,CVZ-N,Huruiki,HB_FS_21_59_23,153.0,41.4,38.2,183.7,10.4,,,,
Helena Bay,Green filter 40kv 8ma,Artefact,CVZ-N,Huruiki,HB_FS_21_59_24,134.4,31.5,31.3,148.8,11.9,,,,
Helena Bay,Green filter 40kv 8ma,Artefact,CVZ-N,Huruiki,HB_FS_21_59_25,141.0,35.9,36.8,185.0,11.2,,,,
Helena Bay,Green filter 40kv 8ma,Artefact,CVZ-N,Huruiki,HB_FS_21_59_26,136.9,36.3,32.3,151.6,12.4,,,,
Helena Bay,Green filter 40kv 8ma,Artefact,CVZ-N,Huruiki,HB_FS_21_59_27,142.9,36.4,32.0,168.7,12.9,,,,
Helena Bay,Green filter 40kv 8ma,Artefact,CVZ-N,Huruiki,HB_FS_21_59_28,139.0,37.0,33.1,172.4,13.1,,,,
Helena Bay,Green filter 40kv 8ma,Artefact,CVZ-N,Huruiki,HB_FS_21_59_29,141.8,40.3,32.5,161.8,12.1,,,,
Helena Bay,Green filter 40kv 8ma,Artefact,CVZ-N,Huruiki,HB_FS_21_59_3,119.2,32.3,33.7,141.4,9.2,,,,
Helena Bay,Green filter 40kv 8ma,Artefact,CVZ-N,Huruiki,HB_FS_21_59_30,131.5,35.0,33.9,146.2,9.5,,,,
Helena Bay,Green filter 40kv 8ma,Artefact,CVZ-N,Huruiki,HB_FS_21_59_31,141.6,34.2,33.4,170.4,12.0,,,,
Helena Bay,Green filter 40kv 8ma,Artefact,CVZ-N,Huruiki,HB_FS_21_59_32,137.2,34.6,32.3,167.2,11.0,,,,
Helena Bay,Green filter 40kv 8ma,Artefact,CVZ-N,Huruiki,HB_FS_21_59_33,124.7,35.7,35.7,157.5,10.9,,,,
Helena Bay,Green filter 40kv 8ma,Artefact,CVZ-N,Huruiki,HB_FS_21_59_34,152.2,43.7,37.5,169.7,15.2,,,,
Helena Bay,Green filter 40kv 8ma,Artefact,CVZ-N,Huruiki,HB_FS_21_59_35,141.2,41.2,35.8,159.0,12.5,,,,
Helena Bay,Green filter 40kv 8ma,Artefact,CVZ-N,Huruiki,HB_FS_21_59_36,131.5,39.5,37.5,166.7,10.8,,,,
Helena Bay,Green filter 40kv 8ma,Artefact,CVZ-N,Huruiki,HB_FS_21_59_37,138.2,37.2,35.7,149.1,14.6,,,,
Helena Bay,Green filter 40kv 8ma,Artefact,CVZ-N,Huruiki,HB_FS_21_59_38,119.0,38.2,36.9,158.4,12.2,,,,
Helena Bay,Green filter 40kv 8ma,Artefact,CVZ-N,Huruiki,HB_FS_21_59_39,135.2,34.8,34.8,150.0,11.3,,,,
Helena Bay,Green filter 40kv 8ma,Artefact,CVZ-N,Huruiki,HB_FS_21_59_4,116.2,41.3,32.4,154.2,9.2,,,,
Helena Bay,Green filter 40kv 8ma,Artefact,CVZ-N,Huruiki,HB_FS_21_59_40,148.4,41.5,40.9,172.6,8.3,,,,
Helena Bay,Green filter 40kv 8ma,Artefact,CVZ-N,Huruiki,HB_FS_21_59_41,136.5,34.2,33.6,151.6,11.0,,,,
Helena Bay,Green filter 40kv 8ma,Artefact,CVZ-N,Huruiki,HB_FS_21_59_42,135.0,35.7,34.7,166.4,13.5,,,,
Helena Bay,Green filter 40kv 8ma,Artefact,CVZ-N,Huruiki,HB_FS_21_59_43,145.4,42.4,33.5,189.8,14.6,,,,
Helena Bay,Green filter 40kv 8ma,Artefact,CVZ-N,Huruiki,HB_FS_21_59_44,141.2,40.5,37.6,170.6,7.4,,,,
Helena Bay,Green filter 40kv 8ma,Artefact,CVZ-N,Huruiki,HB_FS_21_59_45,140.3,34.6,37.1,170.0,11.4,,,,
Helena Bay,Green filter 40kv 8ma,Artefact,CVZ-N,Huruiki,HB_FS_21_59_46,136.2,37.8,42.3,162.4,10.8,,,,
Helena Bay,Green filter 40kv 8ma,Artefact,CVZ-N,Huruiki,HB_FS_21_59_47,118.1,32.5,31.5,161.6,12.5,,,,
Helena Bay,Green filter 40kv 8ma,Artefact,CVZ-N,Huruiki,HB_FS_21_59_48,152.4,36.2,33.8,165.5,9.2,,,,
Helena Bay,Green filter 40kv 8ma,Artefact,CVZ-N,Huruiki,HB_FS_21_59_49,147.4,43.5,41.8,161.2,10.4,,,,
Helena Bay,Green filter 40kv 8ma,Artefact,CVZ-N,Huruiki,HB_FS_21_59_5,125.3,35.2,34.9,153.3,10.4,,,,
Helena Bay,Green filter 40kv 8ma,Artefact,CVZ-N,Huruiki,HB_FS_21_59_50,143.8,39.6,36.5,173.2,12.4,,,,
Helena Bay,Green filter 40kv 8ma,Artefact,CVZ-N,Huruiki,HB_FS_21_59_51,141.8,36.9,41.0,167.9,11.5,,,,
Helena Bay,Green filter 40kv 8ma,Artefact,CVZ-N,Huruiki,HB_FS_21_59_52,147.7,37.3,39.4,168.0,10.9,,,,
Helena Bay,Green filter 40kv 8ma,Artefact,CVZ-N,Huruiki,HB_FS_21_59_53,136.0,38.5,39.5,164.7,13.8,,,,
Helena Bay,Green filter 40kv 8ma,Artefact,CVZ-N,Huruiki,HB_FS_21_59_54,133.5,42.2,36.4,165.2,10.5,,,,
Helena Bay,Green filter 40kv 8ma,Artefact,CVZ-N,Huruiki,HB_FS_21_59_55,152.6,40.2,42.3,166.7,9.8,,,,
Helena Bay,Green filter 40kv 8ma,Artefact,CVZ-N,Huruiki,HB_FS_21_59_56,136.3,39.5,34.8,156.8,11.4,,,,
Helena Bay,Green filter 40kv 8ma,Artefact,CVZ-N,Huruiki,HB_FS_21_59_57,136.0,37.8,36.7,170.4,14.2,,,,
Helena Bay,Green filter 40kv 8ma,Artefact,CVZ-N,Huruiki,HB_FS_21_59_58,150.5,41.3,35.8,177.2,13.3,,,,
Helena Bay,Green filter 40kv 8ma,Artefact,CVZ-N,Huruiki,HB_FS_21_59_59,129.6,39.2,34.8,156.4,12.7,,,,
Helena Bay,Green filter 40kv 8ma,Artefact,CVZ-N,Huruiki,HB_FS_21_59_6,149.7,38.4,33.9,175.5,14.8,,,,
Helena Bay,Green filter 40kv 8ma,Artefact,CVZ-N,Huruiki,HB_FS_21_59_60,151.6,41.2,38.2,171.2,11.9,,,,
Helena Bay,Green filter 40kv 8ma,Artefact,CVZ-N,Huruiki,HB_FS_21_59_61,157.1,40.0,44.2,173.4,11.7,,,,
Helena Bay,Green filter 40kv 8ma,Artefact,CVZ-N,Huruiki,HB_FS_21_59_62,136.8,38.8,39.2,166.1,9.1,,,,
Helena Bay,Green filter 40kv 8ma,Artefact,CVZ-N,Huruiki,HB_FS_21_59_63,149.5,37.0,38.9,169.0,12.9,,,,
Helena Bay,Green filter 40kv 8ma,Artefact,CVZ-N,Huruiki,HB_FS_21_59_64,143.2,35.9,40.8,159.2,11.8,,,,
Helena Bay,Green filter 40kv 8ma,Artefact,CVZ-N,Huruiki,HB_FS_21_59_65,151.5,39.7,33.4,179.5,12.1,,,,
Helena Bay,Green filter 40kv 8ma,Artefact,CVZ-N,Huruiki,HB_FS_21_59_66,143.8,37.6,33.5,173.9,11.2,,,,
Helena Bay,Green filter 40kv 8ma,Artefact,CVZ-N,Huruiki,HB_FS_21_59_67,160.3,42.2,37.9,160.8,13.5,,,,
Helena Bay,Green filter 40kv 8ma,Artefact,CVZ-N,Huruiki,HB_FS_21_59_68,133.5,36.3,35.7,165.8,10.8,,,,
Helena Bay,Green filter 40kv 8ma,Artefact,CVZ-N,Huruiki,HB_FS_21_59_69,147.0,39.9,32.5,156.9,9.4,,,,
Helena Bay,Green filter 40kv 8ma,Artefact,CVZ-N,Huruiki,HB_FS_21_59_7,118.0,32.9,33.4,153.0,10.8,,,,
Helena Bay,Green filter 40kv 8ma,Artefact,CVZ-N,Huruiki,HB_FS_21_59_70,167.0,39.7,41.8,185.4,13.9,,,,
Helena Bay,Green filter 40kv 8ma,Artefact,CVZ-N,Huruiki,HB_FS_21_59_71,158.8,39.2,35.4,177.8,12.0,,,,
Helena Bay,Green filter 40kv 8ma,Artefact,CVZ-N,Huruiki,HB_FS_21_59_72,142.5,39.9,34.2,160.9,11.5,,,,
Helena Bay,Green filter 40kv 8ma,Artefact,CVZ-N,Huruiki,HB_FS_21_59_73,148.6,36.9,34.8,174.7,9.3,,,,
Helena Bay,Green filter 40kv 8ma,Artefact,CVZ-N,Huruiki,HB_FS_21_59_74,142.5,45.9,38.0,179.8,11.0,,,,
Helena Bay,Green filter 40kv 8ma,Artefact,CVZ-N,Huruiki,HB_FS_21_59_75,147.6,40.1,34.9,161.8,11.0,,,,
Helena Bay,Green filter 40kv 8ma,Artefact,CVZ-N,Huruiki,HB_FS_21_59_76,139.7,38.1,38.8,160.4,11.0,,,,
Helena Bay,Green filter 40kv 8ma,Artefact,CVZ-N,Huruiki,HB_FS_21_59_77,142.8,41.9,36.7,170.2,10.5,,,,
Helena Bay,Green filter 40kv 8ma,Artefact,CVZ-N,Huruiki,HB_FS_21_59_78,167.6,45.4,37.5,173.6,13.0,,,,
Helena Bay,Green filter 40kv 8ma,Artefact,CVZ-N,Huruiki,HB_FS_21_59_79,131.2,34.2,35.2,154.5,12.3,,,,
Helena Bay,Green filter 40kv 8ma,Artefact,CVZ-N,Huruiki,HB_FS_21_59_8,139.9,36.0,35.6,158.6,12.0,,,,
Helena Bay,Green filter 40kv 8ma,Artefact,CVZ-N,Huruiki,HB_FS_21_59_80,137.5,37.7,34.3,152.3,10.1,,,,
Helena Bay,Green filter 40kv 8ma,Artefact,CVZ-N,Huruiki,HB_FS_21_59_81,153.5,40.6,40.6,174.8,10.3,,,,
Helena Bay,Green filter 40kv 8ma,Artefact,CVZ-N,Huruiki,HB_FS_21_59_82,148.7,39.6,41.3,171.2,10.0,,,,
Helena Bay,Green filter 40kv 8ma,Artefact,CVZ-N,Huruiki,HB_FS_21_59_83,145.8,36.5,36.8,217.1,11.8,,,,
Helena Bay,Green filter 40kv 8ma,Artefact,CVZ-N,Huruiki,HB_FS_21_59_84,165.4,43.5,43.9,201.9,12.8,,,,
Helena Bay,Green filter 40kv 8ma,Artefact,CVZ-N,Huruiki,HB_FS_21_59_85,137.6,43.9,36.6,171.5,12.2,,,,
Helena Bay,Green filter 40kv 8ma,Artefact,CVZ-N,Huruiki,HB_FS_21_59_86,146.7,39.1,38.6,205.7,9.4,,,,
Helena Bay,Green filter 40kv 8ma,Artefact,CVZ-N,Huruiki,HB_FS_21_59_87,130.4,32.3,37.7,162.6,11.9,,,,
Helena Bay,Green filter 40kv 8ma,Artefact,CVZ-N,Huruiki,HB_FS_21_59_88,149.0,46.1,38.9,188.2,11.3,,,,
Helena Bay,Green filter 40kv 8ma,Artefact,CVZ-N,Huruiki,HB_FS_21_59_9,145.4,37.8,36.0,151.5,12.1,,,,
Helena Bay,Green filter 40kv 8ma,Artefact,CVZ-N,Huruiki,HB_FS_21_59_90,146.6,37.1,40.9,157.2,11.1,,,,
Helena Bay,Green filter 40kv 8ma,Artefact,CVZ-N,Huruiki,HB_FS_21_59_91,140.4,40.8,40.8,150.9,11.5,,,,
Helena Bay,Green filter 40kv 8ma,Artefact,CVZ-N,Huruiki,HB_FS_21_59_92,157.4,44.8,39.1,165.9,10.9,,,,
Helena Bay,Green filter 40kv 8ma,Artefact,CVZ-N,Huruiki,HB_FS_21_59_93,145.6,39.3,34.7,153.9,9.9,,,,
Helena Bay,Green filter 40kv 8ma,Artefact,CVZ-N,Huruiki,HB_FS_21_59_94,146.4,41.9,40.7,157.7,12.4,,,,
Helena Bay,Green filter 40kv 8ma,Artefact,CVZ-N,Huruiki,HB_FS_21_59_95,147.1,42.7,39.8,162.6,11.7,,,,
Helena Bay,Green filter 40kv 8ma,Artefact,CVZ-N,Huruiki,HB_FS_21_59_96,127.8,38.1,32.9,147.9,10.7,,,,
Helena Bay,Green filter 40kv 8ma,Artefact,CVZ-N,Huruiki,HB_FS_21_59_98,156.2,43.0,35.8,188.1,11.6,,,,
Helena Bay,Green filter 40kv 8ma,Artefact,CVZ-N,Huruiki,HB_FS_21_59_99,131.3,32.7,36.3,159.1,11.5,,,,
Helena Bay,Green filter 40kv 8ma,Artefact,CVZ-N,Huruiki,HB_FS_21_6,140.3,37.1,42.0,194.0,12.0,,,,
Helena Bay,Green filter 40kv 8ma,Artefact,CVZ-N,Huruiki,HB_FS_21_60,107.6,30.0,32.1,143.3,10.8,,,,
Helena Bay,Green filter 40kv 8ma,Artefact,CVZ-N,Huruiki,HB_FS_21_7,169.1,40.7,43.6,183.5,13.0,,,,
Helena Bay,Green filter 40kv 8ma,Artefact,CVZ-N,Huruiki,HB_FS_21_8,153.5,39.1,37.2,178.2,12.8,,,,
Helena Bay,Green filter 40kv 8ma,Artefact,CVZ-N,Huruiki,HB_FS_21_9,158.4,43.5,38.6,164.3,10.6,,,,
Helena Bay,Green filter 40kv 8ma,Artefact,CVZ-N,Huruiki,HB_FS_22,103.1,27.9,30.7,120.4,8.5,,,,
Mt Wellington,Green filter 40kv 8ma,Artefact,CVZ-N,Huruiki,AR 4020b,128.6,35.2,35.0,155.7,11.9,,,,
Bream Head,Green filter 40kv 8ma,Artefact,Mayor Island,Mayor Island,BH_FS_1_1,123.6,9.1,101.5,1079.3,83.7,,,,
Bream Head,Green filter 40kv 8ma,Artefact,Mayor Island,Mayor Island,BH_FS_11_1,151.2,12.1,101.0,1078.3,81.5,,,,
Bream Head,Green filter 40kv 8ma,Artefact,Mayor Island,Mayor Island,BH_FS_23_2,135.2,9.4,107.7,1149.5,82.1,,,,
Bream Head,Green filter 40kv 8ma,Artefact,Mayor Island,Mayor Island,BH_FS_3_1,139.8,6.5,118.1,1280.7,95.2,,,,
Bream Head,Green filter 40kv 8ma,Artefact,Mayor Island,Mayor Island,BH_FS_30_1,149.2,8.9,113.8,1211.9,89.0,,,,
Bream Head,Green filter 40kv 8ma,Artefact,Mayor Island,Mayor Island,BH_FS_31_1,154.7,7.5,127.7,1398.3,106.1,,,,
Bream Head,Green filter 40kv 8ma,Artefact,Mayor Island,Mayor Island,BH_FS_31_2,156.5,7.9,127.2,1330.8,92.0,,,,
Bream Head,Green filter 40kv 8ma,Artefact,Mayor Island,Mayor Island,BH_FS_31_3,170.5,8.1,136.4,1332.2,104.7,,,,
Bream Head,Green filter 40kv 8ma,Artefact,Mayor Island,Mayor Island,BH_FS_32_2,123.5,9.2,113.0,1199.9,94.3,,,,
Bream Head,Green filter 40kv 8ma,Artefact,Mayor Island,Mayor Island,BH_FS_33_1,151.8,8.6,101.0,1141.4,87.2,,,,
Bream Head,Green filter 40kv 8ma,Artefact,Mayor Island,Mayor Island,BH_FS_4_1,141.0,9.4,122.7,1318.5,96.7,,,,
Bream Head,Green filter 40kv 8ma,Artefact,Mayor Island,Mayor Island,BH_FS_4_2,142.3,8.3,118.1,1379.1,107.9,,,,
Bream Head,Green filter 40kv 8ma,Artefact,Mayor Island,Mayor Island,BH_FS_8_1,123.2,9.0,108.6,1081.5,71.7,,,,
Bream Head,Green filter 40kv 8ma,Artefact,Mayor Island,Mayor Island,BH_FS_82_1,133.4,9.4,106.4,1180.4,92.5,,,,
Bream Head,Green filter 40kv 8ma,Artefact,Mayor Island,Mayor Island,BH_FS_9_1,140.3,6.5,102.1,1136.5,86.9,,,,
Mt Wellington,Green filter 40kv 8ma,Artefact,Mayor Island,Mayor Island,AR3977,137.7,7.4,103.2,1130.6,86.1,,,,
Mt Wellington,Green filter 40kv 8ma,Artefact,Mayor Island,Mayor Island,AR3978,140.4,7.9,110.5,1174.7,84.2,,,,
Mt Wellington,Green filter 40kv 8ma,Artefact,Mayor Island,Mayor Island,AR3986,139.1,6.8,107.9,1133.8,91.5,,,,
Mt Wellington,Green filter 40kv 8ma,Artefact,Mayor Island,Mayor Island,AR3999,151.3,9.0,117.7,1387.8,107.3,,,,
Mt Wellington,Green filter 40kv 8ma,Artefact,Mayor Island,Mayor Island,AR4002,136.9,9.2,118.6,1309.1,97.2,,,,
Mt Wellington,Green filter 40kv 8ma,Artefact,Mayor Island,Mayor Island,AR4003,141.2,6.6,121.4,1309.6,100.7,,,,
