Study Area,XRF_Setting,Sample_Type,Source_Zone,Source_Specific,Sample_ID,Rb_ppm,Sr_ppm,Y_ppm,Zr_ppm,Nb_ppm,,,,
Helena Bay,Green filter 40kv 8ma,Artefact,CVZ-N,Huruiki,HB_FS_19_12,143.2,38.0,35.7,167.3,13.1,,,,
Helena Bay,Green filter 40kv 8ma,Artefact,CVZ-N,Huruiki,HB_FS_19_13,134.1,36.4,36.9,164.9,10.6,,,,
Helena Bay,Green filter 40kv 8ma,Artefact,CVZ-N,Huruiki,HB_FS_19_14,148.0,39.9,39.3,180.4,10.3,,,,
Helena Bay,Green filter 40kv 8ma,Artefact,CVZ-N,Huruiki,HB_FS_19_15,131.2,38.6,36.4,158.1,12.7,,,,
Helena Bay,Green filter 40kv 8ma,Artefact,CVZ-N,Huruiki,HB_FS_19_16,136.0,32.8,41.6,175.3,11.8,,,,
Helena Bay,Green filter 40kv 8ma,Artefact,CVZ-N,Huruiki,HB_FS_19_17,147.7,44.1,39.7,172.5,10.4,,,,
Helena Bay,Green filter 40kv 8ma,Artefact,CVZ-N,Huruiki,HB_FS_19_18,139.0,39.7,39.0,171.3,7.4,,,,
Helena Bay,Green filter 40kv 8ma,Artefact,CVZ-N,Huruiki,HB_FS_19_19,141.4,36.4,34.1,160.6,12.2,,,,
Helena Bay,Green filter 40kv 8ma,Artefact,CVZ-N,Huruiki,HB_FS_19_2,140.1,40.1,34.2,148.3,11.0,,,,
Helena Bay,Green filter 40kv 8ma,Artefact,CVZ-N,Huruiki,HB_FS_19_20,149.3,38.3,33.6,170.5,13.7,,,,
Helena Bay,Green filter 40kv 8ma,Artefact,CVZ-N,Huruiki,HB_FS_19_21,133.3,37.1,35.3,163.1,10.4,,,,
Helena Bay,Green filter 40kv 8ma,Artefact,CVZ-N,Huruiki,HB_FS_19_22,142.2,38.8,33.2,179.0,11.0,,,,
Helena Bay,Green filter 40kv 8ma,Artefact,CVZ-N,Huruiki,HB_FS_19_23,137.4,33.6,34.3,158.1,11.5,,,,
Helena Bay,Green filter 40kv 8ma,Artefact,CVZ-N,Huruiki,HB_FS_19_24,151.4,33.9,37.6,165.7,13.0,,,,
Helena Bay,Green filter 40kv 8ma,Artefact,CVZ-N,Huruiki,HB_FS_19_25,146.2,38.2,33.5,184.7,11.1,,,,
Helena Bay,Green filter 40kv 8ma,Artefact,CVZ-N,Huruiki,HB_FS_19_26,141.8,37.9,37.0,169.3,11.1,,,,
Helena Bay,Green filter 40kv 8ma,Artefact,CVZ-N,Huruiki,HB_FS_19_27,158.4,44.1,40.3,196.3,14.0,,,,
Helena Bay,Green filter 40kv 8ma,Artefact,CVZ-N,Huruiki,HB_FS_19_28,153.8,40.4,40.0,163.8,12.7,,,,
Helena Bay,Green filter 40kv 8ma,Artefact,CVZ-N,Huruiki,HB_FS_19_29,135.1,38.6,40.2,177.6,11.9,,,,
Helena Bay,Green filter 40kv 8ma,Artefact,CVZ-N,Huruiki,HB_FS_19_3,135.8,38.1,35.5,171.3,10.7,,,,
Helena Bay,Green filter 40kv 8ma,Artefact,CVZ-N,Huruiki,HB_FS_19_30,149.8,43.5,42.4,185.3,13.0,,,,
Helena Bay,Green filter 40kv 8ma,Artefact,CVZ-N,Huruiki,HB_FS_19_31,138.4,39.7,39.4,167.5,9.8,,,,
Helena Bay,Green filter 40kv 8ma,Artefact,CVZ-N,Huruiki,HB_FS_19_32,152.5,39.9,36.3,160.9,12.5,,,,
Helena Bay,Green filter 40kv 8ma,Artefact,CVZ-N,Huruiki,HB_FS_19_33,154.1,43.9,41.9,174.4,13.0,,,,
Helena Bay,Green filter 40kv 8ma,Artefact,CVZ-N,Huruiki,HB_FS_19_34,164.8,43.7,39.3,174.2,9.4,,,,
Helena Bay,Green filter 40kv 8ma,Artefact,CVZ-N,Huruiki,HB_FS_19_35,143.0,36.8,41.9,145.2,11.1,,,,
Helena Bay,Green filter 40kv 8ma,Artefact,CVZ-N,Huruiki,HB_FS_19_36,118.6,35.7,44.5,137.9,6.7,,,,
Helena Bay,Green filter 40kv 8ma,Artefact,CVZ-N,Huruiki,HB_FS_19_4,144.6,35.6,29.5,148.4,12.5,,,,
