Surrogate code,Sample_Type,Sample_ID,Study Area,Source_Specific
Suco2014386,Artefact,AR4018b,Mt Wellington,Mayor Island
Suco2014387,Artefact,AR4019,Mt Wellington,Mayor Island
Suco2014388,Artefact,MW002b,Mt Wellington,Mayor Island
Suco2014389,Artefact,MW008b,Mt Wellington,Mayor Island
Suco2014390,Artefact,MW024a,Mt Wellington,Mayor Island
Suco2014391,Artefact,MW024b,Mt Wellington,Mayor Island
Suco2014392,Artefact,MW024c,Mt Wellington,Mayor Island
Suco2014393,Artefact,AR 4010,Mt Wellington,Rotorua
Suco2014394,Artefact,BH_FS_10_1,Bream Head,Te Ahumata
Suco2014395,Artefact,BH_FS_23_4,Bream Head,Te Ahumata
Suco2014396,Artefact,BH_FS_29_1,Bream Head,Te Ahumata
Suco2014397,Artefact,BH_FS_32_1,Bream Head,Te Ahumata
Suco2014398,Artefact,BH_FS_32_3,Bream Head,Te Ahumata
Suco2014399,Artefact,AR 3976,Mt Wellington,Te Ahumata
Suco2014400,Artefact,AR 3979,Mt Wellington,Te Ahumata
Suco2014401,Artefact,AR 3980a,Mt Wellington,Te Ahumata
Suco2014402,Artefact,AR 3984,Mt Wellington,Te Ahumata
Suco2014403,Artefact,AR 3985,Mt Wellington,Te Ahumata
Suco2014404,Artefact,AR 3987,Mt Wellington,Te Ahumata
Suco2014405,Artefact,AR 3990,Mt Wellington,Te Ahumata
Suco2014406,Artefact,AR 3994,Mt Wellington,Te Ahumata
Suco2014407,Artefact,AR 3995,Mt Wellington,Te Ahumata
Suco2014408,Artefact,AR 3997,Mt Wellington,Te Ahumata
Suco2014409,Artefact,AR 4000,Mt Wellington,Te Ahumata
Suco2014410,Artefact,AR 4001a,Mt Wellington,Te Ahumata
Suco2014411,Artefact,AR 4012,Mt Wellington,Te Ahumata
Suco2014412,Artefact,AR 4013,Mt Wellington,Te Ahumata
Suco2014413,Artefact,AR 4015a,Mt Wellington,Te Ahumata
Suco2014414,Artefact,AR 4015b,Mt Wellington,Te Ahumata
Suco2014415,Artefact,AR 4016a,Mt Wellington,Te Ahumata
Suco2014416,Artefact,AR 4016b,Mt Wellington,Te Ahumata
Suco2014417,Artefact,AR 4016c,Mt Wellington,Te Ahumata
Suco2014418,Artefact,AR 4016d,Mt Wellington,Te Ahumata
Suco2014419,Artefact,AR 4016e,Mt Wellington,Te Ahumata
Suco2014420,Artefact,AR 4017a,Mt Wellington,Te Ahumata
Suco2014421,Artefact,AR 4017b,Mt Wellington,Te Ahumata
Suco2014422,Artefact,AR 4017d,Mt Wellington,Te Ahumata
Suco2014423,Artefact,AR 4017e,Mt Wellington,Te Ahumata
Suco2014424,Artefact,AR 4017h,Mt Wellington,Te Ahumata
Suco2014425,Artefact,AR 4018a,Mt Wellington,Te Ahumata
Suco2014426,Artefact,AR 4020a,Mt Wellington,Te Ahumata
Suco2014427,Artefact,AR 4021a,Mt Wellington,Te Ahumata
Suco2014428,Artefact,AR 4021b,Mt Wellington,Te Ahumata
Suco2014429,Artefact,AR 4022a,Mt Wellington,Te Ahumata
Suco2014430,Artefact,AR 4024,Mt Wellington,Te Ahumata
Suco2014431,Artefact,AR 4025a,Mt Wellington,Te Ahumata
Suco2014432,Artefact,AR 4025c,Mt Wellington,Te Ahumata
Suco2014433,Artefact,AR 4025d,Mt Wellington,Te Ahumata
Suco2014434,Artefact,AR 4025g,Mt Wellington,Te Ahumata
Suco2014435,Artefact,AR 4025h,Mt Wellington,Te Ahumata
Suco2014436,Artefact,AR 4026a,Mt Wellington,Te Ahumata
Suco2014437,Artefact,AR 4027a,Mt Wellington,Te Ahumata
Suco2014438,Artefact,AR 4028a,Mt Wellington,Te Ahumata
Suco2014439,Artefact,AR 4028b,Mt Wellington,Te Ahumata
Suco2014440,Artefact,AR 4028c,Mt Wellington,Te Ahumata
Suco2014441,Artefact,AR 4028d,Mt Wellington,Te Ahumata
Suco2014442,Artefact,AR 4028e,Mt Wellington,Te Ahumata
Suco2014443,Artefact,AR 4029a,Mt Wellington,Te Ahumata
Suco2014444,Artefact,AR 4029b,Mt Wellington,Te Ahumata
Suco2014445,Artefact,AR 4029c,Mt Wellington,Te Ahumata
Suco2014446,Artefact,AR 4030a,Mt Wellington,Te Ahumata
Suco2014447,Artefact,AR 4030c,Mt Wellington,Te Ahumata
Suco2014448,Artefact,AR 4030f,Mt Wellington,Te Ahumata
Suco2014449,Artefact,AR 4030h,Mt Wellington,Te Ahumata
Suco2014450,Artefact,AR 4030i,Mt Wellington,Te Ahumata
Suco2014451,Artefact,AR 4031a,Mt Wellington,Te Ahumata
Suco2014452,Artefact,AR 4031b,Mt Wellington,Te Ahumata
Suco2014453,Artefact,AR 4032a,Mt Wellington,Te Ahumata
Suco2014454,Artefact,AR 4032b,Mt Wellington,Te Ahumata
Suco2014455,Artefact,AR 4032c,Mt Wellington,Te Ahumata
Suco2014456,Artefact,AR 4033a,Mt Wellington,Te Ahumata
Suco2014457,Artefact,AR 4033b,Mt Wellington,Te Ahumata
Suco2014458,Artefact,AR 4033c,Mt Wellington,Te Ahumata
Suco2014459,Artefact,AR 4033d,Mt Wellington,Te Ahumata
Suco2014460,Artefact,AR 4033e,Mt Wellington,Te Ahumata
Suco2014461,Artefact,AR 4033f,Mt Wellington,Te Ahumata
Suco2014462,Artefact,AR 4041a,Mt Wellington,Te Ahumata
Suco2014463,Artefact,AR 4041b,Mt Wellington,Te Ahumata
Suco2014464,Artefact,AR 4041c,Mt Wellington,Te Ahumata
Suco2014465,Artefact,AR 4041d,Mt Wellington,Te Ahumata
Suco2014466,Artefact,AR 4044a,Mt Wellington,Te Ahumata
Suco2014467,Artefact,AR 4044b,Mt Wellington,Te Ahumata
Suco2014468,Artefact,AR 4045,Mt Wellington,Te Ahumata
Suco2014469,Artefact,AR 4048,Mt Wellington,Te Ahumata
Suco2014470,Artefact,AR 4050a,Mt Wellington,Te Ahumata
Suco2014471,Artefact,MW 0007b,Mt Wellington,Te Ahumata
Suco2014472,Artefact,MW 001,Mt Wellington,Te Ahumata
Suco2014473,Artefact,MW 002a,Mt Wellington,Te Ahumata
Suco2014474,Artefact,MW 004,Mt Wellington,Te Ahumata
Suco2014475,Artefact,MW 005,Mt Wellington,Te Ahumata
Suco2014476,Artefact,MW 006,Mt Wellington,Te Ahumata
Suco2014477,Artefact,MW 007a,Mt Wellington,Te Ahumata
Suco2014478,Artefact,MW 007c,Mt Wellington,Te Ahumata
Suco2014479,Artefact,MW 008a,Mt Wellington,Te Ahumata
Suco2014480,Artefact,MW 008c,Mt Wellington,Te Ahumata
Suco2014481,Artefact,MW 009,Mt Wellington,Te Ahumata
Suco2014482,Artefact,MW 010,Mt Wellington,Te Ahumata
Suco2014483,Artefact,MW 012,Mt Wellington,Te Ahumata
Suco2014484,Artefact,MW 014c,Mt Wellington,Te Ahumata
Suco2014485,Artefact,MW 014f,Mt Wellington,Te Ahumata
Suco2014486,Artefact,MW 014g,Mt Wellington,Te Ahumata
Suco2014487,Artefact,MW 014p,Mt Wellington,Te Ahumata
Suco2014488,Artefact,MW 015,Mt Wellington,Te Ahumata
Suco2014489,Artefact,MW 016,Mt Wellington,Te Ahumata
Suco2014490,Artefact,MW 019,Mt Wellington,Te Ahumata
Suco2014491,Artefact,MW 021,Mt Wellington,Te Ahumata
Suco2014492,Artefact,MW 025,Mt Wellington,Te Ahumata
Suco2014493,Artefact,MW 027,Mt Wellington,Te Ahumata
Suco2014494,Artefact,MW 029,Mt Wellington,Te Ahumata
Suco2014495,Artefact,NAP11_26,Pouerua,Mayor Island
Suco2014496,Artefact,NAP11_27,Pouerua,Kaeo
Suco2014497,Artefact,NAP11_28,Pouerua,Kaeo
Suco2014498,Artefact,NAP11_29,Pouerua,Kaeo
Suco2014499,Artefact,NAP11_30,Pouerua,Kaeo
Suco2014500,Artefact,NAP11_31,Pouerua,Kaeo
Suco2014501,Artefact,NAP11_32,Pouerua,Kaeo
Suco2014502,Artefact,NAP11_33,Pouerua,Kaeo
Suco2014503,Artefact,NAP11_34,Pouerua,Kaeo
Suco2014504,Artefact,NAP11_35,Pouerua,Kaeo
Suco2014505,Artefact,NAP11_36,Pouerua,Kaeo
Suco2014506,Artefact,NAP11_37,Pouerua,Kaeo
Suco2014507,Artefact,NAP11_38,Pouerua,Kaeo
Suco2014508,Artefact,NAP11_39,Pouerua,Kaeo
Suco2014509,Artefact,NAP11_40,Pouerua,Kaeo
Suco2014510,Artefact,NAP11_42,Pouerua,Kaeo
Suco2014511,Artefact,NAP11_43,Pouerua,Kaeo
Suco2014512,Artefact,NAP11_44,Pouerua,Kaeo
Suco2014513,Artefact,NAP11_45,Pouerua,Kaeo
Suco2014514,Artefact,NAP11_46,Pouerua,Kaeo
Suco2014515,Artefact,NAP11_47,Pouerua,Kaeo
Suco2014516,Artefact,NAP11_49,Pouerua,Kaeo
Suco2014517,Artefact,NAP11_50,Pouerua,Kaeo
Suco2014518,Artefact,NAP11_51,Pouerua,Kaeo
Suco2014519,Artefact,NAP11_52,Pouerua,Kaeo
Suco2014520,Artefact,NAP11_53,Pouerua,Kaeo
Suco2014521,Artefact,NAP11_54,Pouerua,Kaeo
Suco2014522,Artefact,NAP11_55,Pouerua,Kaeo
Suco2014523,Artefact,NAP11_56,Pouerua,Kaeo
Suco2014524,Artefact,NAP11_57,Pouerua,Kaeo
Suco2014525,Artefact,NAP11_58,Pouerua,Kaeo
Suco2014526,Artefact,NAP11_59,Pouerua,Kaeo
Suco2014527,Artefact,NAP11_60,Pouerua,Kaeo
Suco2014528,Artefact,NAP11_61,Pouerua,Kaeo
Suco2014529,Artefact,NAP11_62,Pouerua,Kaeo
Suco2014530,Artefact,NAP11_63,Pouerua,Kaeo
Suco2014531,Artefact,NAP11_64,Pouerua,Kaeo
Suco2014532,Artefact,NAP11_65,Pouerua,Te Ahumata
Suco2014533,Artefact,NAP11_66,Pouerua,Kaeo
Suco2014534,Artefact,NAP11_67,Pouerua,Kaeo
Suco2014535,Artefact,NAP11_68,Pouerua,Kaeo
Suco2014536,Artefact,NAP11_69,Pouerua,Kaeo
Suco2014537,Artefact,NAP11_70,Pouerua,Kaeo
Suco2014538,Artefact,NAP11_71,Pouerua,Kaeo
Suco2014539,Artefact,NAP11_72,Pouerua,Kaeo
Suco2014540,Artefact,NAP11_73,Pouerua,Kaeo
Suco2014541,Artefact,NAP11_74,Pouerua,Kaeo
Suco2014542,Artefact,NAP11_75,Pouerua,Kaeo
Suco2014543,Artefact,NAP11_77,Pouerua,Kaeo
Suco2014544,Artefact,NAP11_78,Pouerua,Kaeo
Suco2014545,Artefact,NAP11_79,Pouerua,Kaeo
Suco2014546,Artefact,NAP11_80,Pouerua,Mayor Island
Suco2014547,Artefact,NAP11_81,Pouerua,Kaeo
Suco2014548,Artefact,NAP11_82,Pouerua,Kaeo
Suco2014549,Artefact,NAP11_83,Pouerua,Kaeo
Suco2014550,Artefact,NAP11_84,Pouerua,Kaeo
Suco2014551,Artefact,NAP11_85,Pouerua,Kaeo
Suco2014552,Artefact,NAP11_86,Pouerua,Kaeo
Suco2014553,Artefact,NAP11_87,Pouerua,Kaeo
Suco2014554,Artefact,NAP11_88,Pouerua,Kaeo
Suco2014555,Artefact,NAP11_89,Pouerua,Kaeo
Suco2014556,Artefact,NAP11_90,Pouerua,Kaeo
Suco2014557,Artefact,NAP11_91,Pouerua,Kaeo
Suco2014558,Artefact,NAP11_92,Pouerua,Kaeo
Suco2014559,Artefact,NAP11_93,Pouerua,Kaeo
Suco2014560,Artefact,NAP11_94,Pouerua,Kaeo
Suco2014561,Artefact,NAP11_95,Pouerua,Kaeo
Suco2014562,Artefact,NAP11_96,Pouerua,Kaeo
Suco2014563,Artefact,NAP11_97,Pouerua,Kaeo
Suco2014564,Artefact,NAP11_98,Pouerua,Kaeo
Suco2014565,Artefact,NAP11_99,Pouerua,Kaeo
Suco2014566,Artefact,NAP11_100,Pouerua,Kaeo
Suco2014567,Artefact,NAP11_101,Pouerua,Kaeo
Suco2014568,Artefact,NAP11_102,Pouerua,Kaeo
Suco2014569,Artefact,NAP11_103,Pouerua,Kaeo
Suco2014570,Artefact,NAP11_104,Pouerua,Kaeo
Suco2014571,Artefact,NAP11_105,Pouerua,Mayor Island
Suco2014572,Artefact,NAP11_106,Pouerua,Kaeo
Suco2014573,Artefact,NAP11_107,Pouerua,Kaeo
Suco2014574,Artefact,NAP11_108,Pouerua,Kaeo
Suco2014575,Artefact,NAP11_109,Pouerua,Kaeo
Suco2014576,Artefact,NAP11_110,Pouerua,Kaeo
Suco2014577,Artefact,NAP11_111,Pouerua,Kaeo
Suco2014578,Artefact,NAP11_112,Pouerua,Kaeo
Suco2014579,Artefact,NAP11_113,Pouerua,Kaeo
Suco2014580,Artefact,NAP11_114,Pouerua,Kaeo
Suco2014581,Artefact,NAP11_115,Pouerua,Kaeo
Suco2014582,Artefact,NAP11_116,Pouerua,Kaeo
Suco2014583,Artefact,NAP11_117,Pouerua,Kaeo
Suco2014584,Artefact,NAP11_118,Pouerua,Kaeo
Suco2014585,Artefact,NAP11_119,Pouerua,Mayor Island
Suco2014586,Artefact,NAP11_120,Pouerua,Kaeo
Suco2014587,Artefact,NAP11_121,Pouerua,Kaeo
Suco2014588,Artefact,NAP11_122,Pouerua,Kaeo
Suco2014589,Artefact,NAP11_123,Pouerua,Kaeo
Suco2014590,Artefact,NAP11_124,Pouerua,Kaeo
Suco2014591,Artefact,NAP11_125,Pouerua,Kaeo
Suco2014592,Artefact,NAP11_126,Pouerua,Kaeo
Suco2014593,Artefact,NAP11_127,Pouerua,Kaeo
Suco2014594,Artefact,NAP11_128,Pouerua,Kaeo
Suco2014595,Artefact,NAP11_129,Pouerua,Kaeo
Suco2014596,Artefact,NAP11_130,Pouerua,Huruiki
Suco2014597,Artefact,NAP11_131,Pouerua,Kaeo
Suco2014598,Artefact,NAP11_132,Pouerua,Kaeo
Suco2014599,Artefact,NAP11_133,Pouerua,Huruiki
Suco2014600,Artefact,NAP11_134,Pouerua,Kaeo
Suco2014601,Artefact,NAP11_135,Pouerua,Kaeo
Suco2014602,Artefact,NAP11_136,Pouerua,Kaeo
Suco2014603,Artefact,NAP11_137,Pouerua,Kaeo
Suco2014604,Artefact,NAP11_138,Pouerua,Kaeo
Suco2014605,Artefact,NAP11_139,Pouerua,Huruiki
Suco2014606,Artefact,NAP11_140,Pouerua,Kaeo
Suco2014607,Artefact,NAP11_141,Pouerua,Kaeo
Suco2014608,Artefact,NAP11_142,Pouerua,Huruiki
Suco2014609,Artefact,NAP11_144,Pouerua,Kaeo
Suco2014610,Artefact,NAP11_145,Pouerua,Kaeo
Suco2014611,Artefact,NAP11_146,Pouerua,Kaeo
Suco2014612,Artefact,NAP11_147,Pouerua,Kaeo
Suco2014613,Artefact,NAP11_148,Pouerua,Kaeo
Suco2014614,Artefact,NAP11_149,Pouerua,Kaeo
Suco2014615,Artefact,NAP11_150,Pouerua,Kaeo
Suco2014616,Artefact,NAP11_151,Pouerua,Kaeo
Suco2014617,Artefact,NAP11_152,Pouerua,Kaeo
Suco2014618,Artefact,NAP11_153,Pouerua,Kaeo
Suco2014619,Artefact,NAP11_154,Pouerua,Kaeo
Suco2014620,Artefact,NAP11_155,Pouerua,Mayor Island
Suco2014621,Artefact,NAP11_156,Pouerua,Kaeo
Suco2014622,Artefact,NAP11_157,Pouerua,Kaeo
Suco2014623,Artefact,NAP11_158,Pouerua,Huruiki
Suco2014624,Artefact,NAP11_159,Pouerua,Kaeo
Suco2014625,Artefact,NAP11_160,Pouerua,Kaeo
Suco2014626,Artefact,NAP11_161,Pouerua,Kaeo
Suco2014627,Artefact,NAP11_162,Pouerua,Kaeo
Suco2014628,Artefact,NAP11_163,Pouerua,Huruiki
Suco2014629,Artefact,NAP11_164,Pouerua,Kaeo
Suco2014630,Artefact,NAP11_165,Pouerua,Kaeo
Suco2014631,Artefact,NAP11_166,Pouerua,Kaeo
Suco2014632,Artefact,NAP11_167,Pouerua,Kaeo
Suco2014633,Artefact,NAP11_168,Pouerua,Kaeo
Suco2014634,Artefact,NAP11_169,Pouerua,Kaeo
Suco2014635,Artefact,NAP11_170,Pouerua,Kaeo
Suco2014636,Artefact,NAP11_171,Pouerua,Kaeo
Suco2014637,Artefact,NAP11_172,Pouerua,Kaeo
Suco2014638,Artefact,NAP11_173,Pouerua,Kaeo
Suco2014639,Artefact,NAP11_174,Pouerua,Kaeo
Suco2014640,Artefact,NAP11_175,Pouerua,Kaeo
Suco2014641,Artefact,NAP11_176,Pouerua,Kaeo
Suco2014642,Artefact,NAP11_177,Pouerua,Kaeo
Suco2014643,Artefact,NAP11_178,Pouerua,Kaeo
Suco2014644,Artefact,NAP11_179,Pouerua,Kaeo
Suco2014645,Artefact,NAP11_180,Pouerua,Kaeo
Suco2014646,Artefact,NAP11_181,Pouerua,Kaeo
Suco2014647,Artefact,NAP11_182,Pouerua,Kaeo
Suco2014648,Artefact,NAP11_183,Pouerua,Kaeo
Suco2014649,Artefact,NAP11_184,Pouerua,Kaeo
Suco2014650,Artefact,NAP11_186,Pouerua,Kaeo
Suco2014651,Artefact,NAP11_187,Pouerua,Huruiki
Suco2014652,Artefact,NAP11_188,Pouerua,Kaeo
Suco2014653,Artefact,NAP11_189,Pouerua,Kaeo
Suco2014654,Artefact,NAP11_190,Pouerua,Kaeo
Suco2014655,Artefact,NAP11_191,Pouerua,Huruiki
Suco2014656,Artefact,NAP11_192,Pouerua,Kaeo
Suco2014657,Artefact,NAP11_193,Pouerua,Kaeo
Suco2014658,Artefact,NAP11_194,Pouerua,Kaeo
Suco2014659,Artefact,NAP11_195,Pouerua,Kaeo
Suco2014660,Artefact,NAP11_196,Pouerua,Kaeo
Suco2014661,Artefact,NAP11_197,Pouerua,Kaeo
Suco2014662,Artefact,NAP11_198,Pouerua,Kaeo
Suco2014663,Artefact,NAP11_199,Pouerua,Kaeo
Suco2014664,Artefact,NAP11_201,Pouerua,Kaeo
Suco2014665,Artefact,NAP11_202,Pouerua,Kaeo
Suco2014666,Artefact,NAP11_203,Pouerua,Kaeo
Suco2014667,Artefact,NAP11_204,Pouerua,Kaeo
Suco2014668,Artefact,NAP11_206,Pouerua,Kaeo
Suco2014669,Artefact,NAP11_207,Pouerua,Kaeo
Suco2014670,Artefact,NAP11_208,Pouerua,Huruiki
Suco2014671,Artefact,NAP11_209,Pouerua,Huruiki
Suco2014672,Artefact,NAP11_210,Pouerua,Huruiki
Suco2014673,Artefact,NAP11_211,Pouerua,Kaeo
Suco2014674,Artefact,NAP11_212,Pouerua,Kaeo
Suco2014675,Artefact,NAP11_213,Pouerua,Kaeo
Suco2014676,Artefact,NAP11_214,Pouerua,Kaeo
Suco2014677,Artefact,NAP11_215,Pouerua,Kaeo
Suco2014678,Artefact,NAP11_216,Pouerua,Kaeo
Suco2014679,Artefact,NAP11_217,Pouerua,Kaeo
Suco2014680,Artefact,NAP11_218,Pouerua,Kaeo
Suco2014681,Artefact,NAP11_219,Pouerua,Kaeo
Suco2014682,Artefact,NAP11_220,Pouerua,Kaeo
Suco2014683,Artefact,NAP11_221,Pouerua,Kaeo
Suco2014684,Artefact,NAP11_222,Pouerua,Kaeo
Suco2014685,Artefact,NAP11_223,Pouerua,Kaeo
Suco2014686,Artefact,NAP11_224,Pouerua,Kaeo
Suco2014687,Artefact,NAP11_225,Pouerua,Kaeo
Suco2014688,Artefact,NAP11_226,Pouerua,Kaeo
Suco2014689,Artefact,NAP11_227,Pouerua,Kaeo
Suco2014690,Artefact,NAP11_228,Pouerua,Kaeo
Suco2014691,Artefact,NAP11_229,Pouerua,Kaeo
Suco2014692,Artefact,NAP11_230,Pouerua,Kaeo
Suco2014693,Artefact,NAP11_231,Pouerua,Kaeo
Suco2014694,Artefact,NAP11_232,Pouerua,Huruiki
Suco2014695,Artefact,NAP11_233,Pouerua,Kaeo
Suco2014696,Artefact,NAP11_234,Pouerua,Kaeo
Suco2014697,Artefact,NAP11_235,Pouerua,Kaeo
Suco2014698,Artefact,NAP11_236,Pouerua,Kaeo
Suco2014699,Artefact,NAP11_237,Pouerua,Kaeo
Suco2014700,Artefact,NAP11_238,Pouerua,Huruiki
Suco2014701,Artefact,NAP11_239,Pouerua,Kaeo
Suco2014702,Artefact,NAP11_240,Pouerua,Kaeo
Suco2014703,Artefact,NAP11_241,Pouerua,Kaeo
Suco2014704,Artefact,NAP11_242,Pouerua,Kaeo
Suco2014705,Artefact,NAP11_244,Pouerua,Huruiki
Suco2014706,Artefact,NAP11_245,Pouerua,Kaeo
Suco2014707,Artefact,NAP11_246,Pouerua,Kaeo
Suco2014708,Artefact,NAP11_247,Pouerua,Kaeo
Suco2014709,Artefact,NAP11_248,Pouerua,Kaeo
Suco2014710,Artefact,NAP11_249,Pouerua,Kaeo
Suco2014711,Artefact,NAP11_250,Pouerua,Kaeo
Suco2014712,Artefact,NAP11_251,Pouerua,Kaeo
Suco2014713,Artefact,NAP11_252,Pouerua,Kaeo
Suco2014714,Artefact,NAP11_253,Pouerua,Kaeo
Suco2014715,Artefact,NAP11_254,Pouerua,Kaeo
Suco2014716,Artefact,NAP11_255,Pouerua,Kaeo
Suco2014717,Artefact,NAP11_256,Pouerua,Kaeo
Suco2014718,Artefact,NAP11_257,Pouerua,Kaeo
Suco2014719,Artefact,NAP11_258,Pouerua,Kaeo
Suco2014720,Artefact,NAP11_259,Pouerua,Mayor Island
Suco2014721,Artefact,NAP11_260,Pouerua,Huruiki
Suco2014722,Artefact,NAP11_261,Pouerua,Kaeo
Suco2014723,Artefact,NAP11_262,Pouerua,Fanal Island
Suco2014724,Artefact,NAP11_263,Pouerua,Fanal Island
Suco2014725,Artefact,NAP11_264,Pouerua,Kaeo
Suco2014726,Artefact,NAP11_265,Pouerua,Kaeo
Suco2014727,Artefact,NAP11_268,Pouerua,Kaeo
Suco2014728,Artefact,NAP11_269,Pouerua,Kaeo
Suco2014729,Artefact,NAP11_270,Pouerua,Kaeo
Suco2014730,Artefact,NAP11_272,Pouerua,Kaeo
Suco2014731,Artefact,NAP11_273,Pouerua,Kaeo
Suco2014732,Artefact,NAP11_274,Pouerua,Kaeo
Suco2014733,Artefact,NAP11_275,Pouerua,Kaeo
Suco2014734,Artefact,NAP11_276,Pouerua,Kaeo
Suco2014735,Artefact,NAP11_277,Pouerua,Kaeo
Suco2014736,Artefact,NAP11_278,Pouerua,Kaeo
Suco2014737,Artefact,NAP11_279,Pouerua,Kaeo
Suco2014738,Artefact,NAP11_280,Pouerua,Kaeo
Suco2014739,Artefact,NAP11_281,Pouerua,Kaeo
Suco2014740,Artefact,NAP11_282,Pouerua,Kaeo
Suco2014741,Artefact,NAP11_283,Pouerua,Kaeo
Suco2014742,Artefact,NAP11_284,Pouerua,Kaeo
Suco2014743,Artefact,NAP11_285,Pouerua,Kaeo
Suco2014744,Artefact,NAP11_286,Pouerua,Kaeo
Suco2014745,Artefact,NAP11_287,Pouerua,Kaeo
Suco2014746,Artefact,NAP11_289,Pouerua,Kaeo
Suco2014747,Artefact,NAP11_290,Pouerua,Kaeo
Suco2014748,Artefact,NAP11_291,Pouerua,Kaeo
Suco2014749,Artefact,NAP11_292,Pouerua,Kaeo
Suco2014750,Artefact,NAP11_293,Pouerua,Kaeo
Suco2014751,Artefact,NAP11_294,Pouerua,Huruiki
Suco2014752,Artefact,NAP11_295,Pouerua,Kaeo
Suco2014753,Artefact,NAP11_296,Pouerua,Kaeo
Suco2014754,Artefact,NAP11_297,Pouerua,Kaeo
Suco2014755,Artefact,NAP11_298,Pouerua,Kaeo
Suco2014756,Artefact,NAP11_299,Pouerua,Kaeo
Suco2014757,Artefact,NAP11_300,Pouerua,Kaeo
Suco2014758,Artefact,NAP11_301,Pouerua,Kaeo
Suco2014759,Artefact,NAP11_302,Pouerua,Kaeo
Suco2014760,Artefact,NAP11_303,Pouerua,Kaeo
Suco2014761,Artefact,NAP11_304,Pouerua,Kaeo
Suco2014762,Artefact,NAP11_305,Pouerua,Kaeo
Suco2014763,Artefact,NAP11_306,Pouerua,Kaeo
Suco2014764,Artefact,NAP11_307,Pouerua,Kaeo
Suco2014765,Artefact,NAP11_308,Pouerua,Kaeo
Suco2014766,Artefact,NAP11_309,Pouerua,Kaeo
Suco2014767,Artefact,NAP11_311,Pouerua,Kaeo
Suco2014768,Artefact,NAP11_312,Pouerua,Kaeo
Suco2014769,Artefact,NAP11_313,Pouerua,Huruiki
Suco2014770,Artefact,NAP11_315,Pouerua,Kaeo
Suco2014771,Artefact,NAP11_316,Pouerua,Kaeo
Suco2014772,Artefact,NAP11_318,Pouerua,Mayor Island
Suco2014773,Artefact,NAP11_319,Pouerua,Kaeo
Suco2014774,Artefact,NAP11_320,Pouerua,Kaeo
Suco2014775,Artefact,NAP11_321,Pouerua,Taupo
Suco2014776,Artefact,NAP11_322,Pouerua,Kaeo
Suco2014777,Artefact,NAP11_323,Pouerua,Mayor Island
Suco2014778,Artefact,NAP11_324,Pouerua,Kaeo
Suco2014779,Artefact,NAP11_325,Pouerua,Kaeo
Suco2014780,Artefact,NAP11_326,Pouerua,Kaeo
Suco2014781,Artefact,NAP11_327,Pouerua,Kaeo
Suco2014782,Artefact,NAP11_328,Pouerua,Kaeo
Suco2014783,Artefact,NAP11_332,Pouerua,Kaeo
Suco2014784,Artefact,NAP11_333,Pouerua,Kaeo
Suco2014785,Artefact,NAP11_334,Pouerua,Kaeo
Suco2014786,Artefact,NAP11_335,Pouerua,Huruiki
Suco2014787,Artefact,NAP11_336,Pouerua,Kaeo
Suco2014788,Artefact,NAP11_337,Pouerua,Kaeo
Suco2014789,Artefact,NAP11_338,Pouerua,Kaeo
Suco2014790,Artefact,NAP11_339,Pouerua,Kaeo
Suco2014791,Artefact,NAP11_340,Pouerua,Huruiki
Suco2014792,Artefact,NAP11_341,Pouerua,Kaeo
Suco2014793,Artefact,NAP11_342,Pouerua,Kaeo
Suco2014794,Artefact,NAP11_343,Pouerua,Kaeo
Suco2014795,Artefact,NAP11_344,Pouerua,Kaeo
Suco2014796,Artefact,NAP11_345,Pouerua,Kaeo
Suco2014797,Artefact,NAP11_346,Pouerua,Kaeo
Suco2014798,Artefact,NAP11_347,Pouerua,Kaeo
Suco2014799,Artefact,NAP11_348,Pouerua,Kaeo
Suco2014800,Artefact,NAP11_349,Pouerua,Kaeo
Suco2014801,Artefact,NAP11_350,Pouerua,Mayor Island
Suco2014802,Artefact,NAP11_351,Pouerua,Kaeo
Suco2014803,Artefact,NAP11_354,Pouerua,Huruiki
Suco2014804,Artefact,NAP11_355,Pouerua,Kaeo
Suco2014805,Artefact,NAP11_356,Pouerua,Huruiki
Suco2014806,Artefact,NAP11_357,Pouerua,Kaeo
Suco2014807,Artefact,NAP11_358,Pouerua,Kaeo
Suco2014808,Artefact,NAP11_359,Pouerua,Huruiki
Suco2014809,Artefact,NAP11_360,Pouerua,Huruiki
Suco2014810,Artefact,NAP11_361,Pouerua,Kaeo
Suco2014811,Artefact,NAP11_362,Pouerua,Kaeo
Suco2014812,Artefact,NAP11_363,Pouerua,Kaeo
Suco2014813,Artefact,NAP11_364,Pouerua,Kaeo
Suco2014814,Artefact,NAP11_365,Pouerua,Huruiki
Suco2014815,Artefact,NAP11_366,Pouerua,Kaeo
Suco2014816,Artefact,NAP11_367,Pouerua,Kaeo
Suco2014817,Artefact,NAP11_368,Pouerua,Huruiki
Suco2014818,Artefact,NAP11_369,Pouerua,Kaeo
Suco2014819,Artefact,NAP11_370,Pouerua,Kaeo
Suco2014820,Artefact,NAP11_371,Pouerua,Kaeo
Suco2014821,Artefact,NAP11_372,Pouerua,Kaeo
Suco2014822,Artefact,NAP11_373,Pouerua,Kaeo
Suco2014823,Artefact,NAP11_374,Pouerua,Huruiki
