Surrogate code,Sample_Type,Sample_ID,Study Area,Source_Specific
Suco201494,Artefact,HB_FS_21_16,Helena Bay,Huruiki
Suco201495,Artefact,HB_FS_21_17,Helena Bay,Huruiki
Suco201496,Artefact,HB_FS_21_18,Helena Bay,Huruiki
Suco201497,Artefact,HB_FS_21_19,Helena Bay,Huruiki
Suco201498,Artefact,HB_FS_21_2,Helena Bay,Huruiki
Suco201499,Artefact,HB_FS_21_20,Helena Bay,Huruiki
Suco2014100,Artefact,HB_FS_21_21,Helena Bay,Huruiki
Suco2014101,Artefact,HB_FS_21_22,Helena Bay,Huruiki
Suco2014102,Artefact,HB_FS_21_23,Helena Bay,Huruiki
Suco2014103,Artefact,HB_FS_21_24,Helena Bay,Huruiki
Suco2014104,Artefact,HB_FS_21_25,Helena Bay,Huruiki
Suco2014105,Artefact,HB_FS_21_26,Helena Bay,Huruiki
Suco2014106,Artefact,HB_FS_21_27,Helena Bay,Huruiki
Suco2014107,Artefact,HB_FS_21_28,Helena Bay,Huruiki
Suco2014108,Artefact,HB_FS_21_29,Helena Bay,Huruiki
Suco2014109,Artefact,HB_FS_21_3,Helena Bay,Huruiki
Suco2014110,Artefact,HB_FS_21_30,Helena Bay,Huruiki
Suco2014111,Artefact,HB_FS_21_31,Helena Bay,Huruiki
Suco2014112,Artefact,HB_FS_21_32,Helena Bay,Huruiki
Suco2014113,Artefact,HB_FS_21_33,Helena Bay,Huruiki
Suco2014114,Artefact,HB_FS_21_34,Helena Bay,Huruiki
Suco2014115,Artefact,HB_FS_21_35,Helena Bay,Huruiki
Suco2014116,Artefact,HB_FS_21_36,Helena Bay,Huruiki
Suco2014117,Artefact,HB_FS_21_37,Helena Bay,Huruiki
Suco2014118,Artefact,HB_FS_21_38_1,Helena Bay,Huruiki
Suco2014119,Artefact,HB_FS_21_38_2,Helena Bay,Huruiki
Suco2014120,Artefact,HB_FS_21_39,Helena Bay,Huruiki
Suco2014121,Artefact,HB_FS_21_4,Helena Bay,Huruiki
Suco2014122,Artefact,HB_FS_21_40_1,Helena Bay,Huruiki
Suco2014123,Artefact,HB_FS_21_40_2,Helena Bay,Huruiki
Suco2014124,Artefact,HB_FS_21_41,Helena Bay,Huruiki
Suco2014125,Artefact,HB_FS_21_42,Helena Bay,Huruiki
Suco2014126,Artefact,HB_FS_21_43,Helena Bay,Huruiki
Suco2014127,Artefact,HB_FS_21_44,Helena Bay,Huruiki
Suco2014128,Artefact,HB_FS_21_45,Helena Bay,Huruiki
Suco2014129,Artefact,HB_FS_21_46,Helena Bay,Huruiki
