Surrogate code,Study Area,XRF_Setting,Sample_Type,Source_Zone,Source_Specific,Sample_ID,Rb_ppm,Sr_ppm,Y_ppm,Zr_ppm,Nb_ppm,Si_ppm,Ti_ppm,Al_ppm,Fe_ppm,Mn_ppm,Mg_ppm,Ca_ppm,Na_ppm,K_ppm,Bag_Info
Suco2014799,Pouerua,Green filter 40kv 8ma,Artefact,Northland,Kaeo,NAP11_348,678.5,10.1,215.3,2375.7,316.0,,,,,,,,,,N15/5;Area_II;Quad_B;No.312;3_12_84
Suco2014800,Pouerua,Green filter 40kv 8ma,Artefact,Northland,Kaeo,NAP11_349,759.6,7.2,228.3,2559.3,325.2,,,,,,,,,,N15/5;Area_II;Quad_B;No.322;3_12_84
Suco2014801,Pouerua,Green filter 40kv 8ma,Artefact,Mayor Island,Mayor Island,NAP11_350,145.3,8.3,107.8,1198.5,87.2,,,,,,,,,,N15/5;Area_II;Quad_B;No.324;3_12_84
Suco2014802,Pouerua,Green filter 40kv 8ma,Artefact,Northland,Kaeo,NAP11_351,686.5,10.1,223.3,2489.8,327.3,,,,,,,,,,N15/5;Area_II;Quad_B;No.327;3_12_84
Suco2014803,Pouerua,Green filter 40kv 8ma,Artefact,CVZ-N,Huruiki,NAP11_354,133.4,36.7,33.1,150.2,12.9,,,,,,,,,,N15/5;Area_II;Quad_B;No.329;3_12_84
Suco2014804,Pouerua,Green filter 40kv 8ma,Artefact,Northland,Kaeo,NAP11_355,642.4,10.9,203.9,2321.5,306.5,,,,,,,,,,N15/5;Area_II;Quad_B;No.404;4_12_84
Suco2014805,Pouerua,Green filter 40kv 8ma,Artefact,CVZ-N,Huruiki,NAP11_356,149.0,41.3,38.7,160.5,12.2,,,,,,,,,,N15/5;Area_II;Quad_B;No.410;4_12_84
Suco2014806,Pouerua,Green filter 40kv 8ma,Artefact,Northland,Kaeo,NAP11_357,620.9,8.4,197.9,2223.6,315.7,,,,,,,,,,N15/5;Area_II;Quad_B;No.425;4_12_84
Suco2014807,Pouerua,Green filter 40kv 8ma,Artefact,Northland,Kaeo,NAP11_358,620.1,9.1,190.0,2199.0,297.7,,,,,,,,,,N15/5;Area_II;Quad_B;No.430;4_12_84
Suco2014808,Pouerua,Green filter 40kv 8ma,Artefact,CVZ-N,Huruiki,NAP11_359,136.7,34.5,31.5,157.1,11.2,,,,,,,,,,N15/5;Area_II;Quad_B;No.438;4_12_84
Suco2014809,Pouerua,Green filter 40kv 8ma,Artefact,CVZ-N,Huruiki,NAP11_360,149.5,38.2,35.6,169.1,11.8,,,,,,,,,,N15/5;Area_II;Quad_B;No.456;4_12_84
Suco2014810,Pouerua,Green filter 40kv 8ma,Artefact,Northland,Kaeo,NAP11_361,680.4,8.8,215.4,2354.0,318.7,,,,,,,,,,N15/5;Area_II;Quad_B;No.457;4_12_84
Suco2014811,Pouerua,Green filter 40kv 8ma,Artefact,Northland,Kaeo,NAP11_362,756.0,9.4,232.7,2503.4,326.0,,,,,,,,,,N15/5;Area_II;Quad_B;No.461;4_12_84
Suco2014812,Pouerua,Green filter 40kv 8ma,Artefact,Northland,Kaeo,NAP11_363,635.0,11.3,195.7,2233.7,314.9,,,,,,,,,,N15/5;Area_II;Quad_B;No.463;4_12_84
Suco2014813,Pouerua,Green filter 40kv 8ma,Artefact,Northland,Kaeo,NAP11_364,633.3,9.8,195.3,2248.5,312.2,,,,,,,,,,N15/5;Area_II;Quad_B;No.472;4_12_84
Suco2014814,Pouerua,Green filter 40kv 8ma,Artefact,CVZ-N,Huruiki,NAP11_365,135.0,37.4,31.9,161.9,10.1,,,,,,,,,,N15/5;Area_II;Quad_B;No.2;29_11_84
Suco2014815,Pouerua,Green filter 40kv 8ma,Artefact,Northland,Kaeo,NAP11_366,616.1,8.6,191.7,2152.2,300.2,,,,,,,,,,N15/5;Area_II;Quad_B;No.981;13_12_84
Suco2014816,Pouerua,Green filter 40kv 8ma,Artefact,Northland,Kaeo,NAP11_367,633.0,11.3,194.5,2182.5,297.1,,,,,,,,,,N15/5;Area_II;Quad_B;No.837;12_12_84
Suco2014817,Pouerua,Green filter 40kv 8ma,Artefact,CVZ-N,Huruiki,NAP11_368,140.0,40.7,37.5,158.2,13.6,,,,,,,,,,N15/5;Area_II;Quad_B;No.549;4_12_84
Suco2014818,Pouerua,Green filter 40kv 8ma,Artefact,Northland,Kaeo,NAP11_369,661.4,8.6,208.6,2337.2,324.5,,,,,,,,,,N15/5;Area_II;Quad_B;No.1092;17_12_84
Suco2014819,Pouerua,Green filter 40kv 8ma,Artefact,Northland,Kaeo,NAP11_370,617.6,7.6,197.0,2251.7,308.9,,,,,,,,,,N15/5;Area_II;Quad_B;No.1119;17_12_84
