Surrogate code,Study Area,XRF_Setting,Sample_Type,Source_Zone,Source_Specific,Sample_ID,Rb_ppm,Sr_ppm,Y_ppm,Zr_ppm,Nb_ppm,Si_ppm,Ti_ppm,Al_ppm,Fe_ppm,Mn_ppm,Mg_ppm,Ca_ppm,Na_ppm,K_ppm,Bag_Info
Suco2014820,Pouerua,Green filter 40kv 8ma,Artefact,Northland,Kaeo,NAP11_371,660.0,8.1,199.4,2327.2,320.8,,,,,,,,,,N15/5;Area_II;Quad_B;No.1292;20_12_84
Suco2014821,Pouerua,Green filter 40kv 8ma,Artefact,Northland,Kaeo,NAP11_372,633.1,7.6,197.3,2202.2,303.4,,,,,,,,,,N15/5;Area_II;Quad_B;No.1318;20_12_84
Suco2014822,Pouerua,Green filter 40kv 8ma,Artefact,Northland,Kaeo,NAP11_373,617.3,8.1,208.2,2282.0,317.4,,,,,,,,,,N15/5;Area_II;Quad_B;No.1357;8_1_85
Suco2014823,Pouerua,Green filter 40kv 8ma,Artefact,CVZ-N,Huruiki,NAP11_374,140.7,40.0,34.1,161.8,14.0,,,,,,,,,,N15/5;Area_II;Quad_B;No.1315;20_12_84
Suco2014824,Pouerua,Green filter 40kv 8ma,Artefact,Northland,Kaeo,NAP11_375,645.6,5.9,212.4,2299.5,303.9,,,,,,,,,,N15/5;Area_II;Quad_B;No.1316;20_12_84
Suco2014825,Pouerua,Green filter 40kv 8ma,Artefact,Northland,Kaeo,NAP11_376,672.9,8.5,210.9,2298.2,306.5,,,,,,,,,,N15/5;Area_II;Quad_B;No.131;20_12_84
Suco2014826,Pouerua,Green filter 40kv 8ma,Artefact,Northland,Kaeo,NAP11_377,731.3,7.5,217.9,2484.6,334.4,,,,,,,,,,N15/5;Area_II;Quad_B;No.1335;7_1_85
Suco2014827,Pouerua,Green filter 40kv 8ma,Artefact,Northland,Kaeo,NAP11_378,620.9,11.7,199.0,2228.0,298.4,,,,,,,,,,N15/5;Area_II;Quad_D;No.1345;7_1_85
Suco2014828,Pouerua,Green filter 40kv 8ma,Artefact,Northland,Kaeo,NAP11_379,588.7,7.3,191.4,2118.4,289.9,,,,,,,,,,N15/5;Area_II;Quad_B;No.1294;20_12_84
Suco2014829,Pouerua,Green filter 40kv 8ma,Artefact,Northland,Kaeo,NAP11_380,672.5,7.2,219.2,2375.2,338.2,,,,,,,,,,N15/5;Area_II;Quad_B;No.1358;8_1_85
Suco2014830,Pouerua,Green filter 40kv 8ma,Artefact,Northland,Kaeo,NAP11_381,707.0,7.4,220.7,2411.7,330.5,,,,,,,,,,N15/5;Area_II;Quad_B;No.1188;19_12_84
Suco2014831,Pouerua,Green filter 40kv 8ma,Artefact,Northland,Kaeo,NAP11_382,779.3,8.7,228.5,2526.4,331.2,,,,,,,,,,N15/5;Area_II;Quad_B;No.1172;18_12_84
Suco2014832,Pouerua,Green filter 40kv 8ma,Artefact,Northland,Kaeo,NAP11_383,677.0,10.0,224.8,2410.5,315.5,,,,,,,,,,N15/5;Area_II;Quad_B;No.1183;18_12_84
Suco2014833,Pouerua,Green filter 40kv 8ma,Artefact,Northland,Kaeo,NAP11_384,634.7,7.1,192.3,2230.3,312.6,,,,,,,,,,N15/5;Area_II;Quad_B;No.1171;18_12_84
Suco2014834,Pouerua,Green filter 40kv 8ma,Artefact,Northland,Kaeo,NAP11_385,679.1,8.6,215.3,2404.0,316.8,,,,,,,,,,N15/5;Area_II;Quad_B;No.1165;18_12_84
Suco2014835,Pouerua,Green filter 40kv 8ma,Artefact,Northland,Kaeo,NAP11_386,667.1,9.1,204.5,2349.0,313.6,,,,,,,,,,N15/5;Area_II;Quad_B;No.1163;18_12_84
Suco2014836,Pouerua,Green filter 40kv 8ma,Artefact,Northland,Kaeo,NAP11_387,646.8,6.0,203.1,2282.1,306.1,,,,,,,,,,N15/5;Area_II;Quad_B;No.1162;18_12_84
Suco2014837,Pouerua,Green filter 40kv 8ma,Artefact,Northland,Kaeo,NAP11_388,615.0,9.1,181.0,2174.6,286.3,,,,,,,,,,N15/5;Area_II;Quad_B;No.1187;19_12_84
Suco2014838,Pouerua,Green filter 40kv 8ma,Artefact,Northland,Kaeo,NAP11_389,649.7,10.4,196.2,2306.4,323.7,,,,,,,,,,N15/5;Area_II;Quad_B;No.1146;18_12_84
Suco2014839,Pouerua,Green filter 40kv 8ma,Artefact,Northland,Kaeo,NAP11_390,708.8,7.3,223.2,2432.3,326.5,,,,,,,,,,N15/5;Area_II;Quad_B;No.1111;17_12_84
Suco2014840,Pouerua,Green filter 40kv 8ma,Artefact,Northland,Kaeo,NAP11_391,649.0,12.2,213.9,2308.4,312.5,,,,,,,,,,N15/5;Area_II;Quad_D;No.102;30_11_84
Suco2014841,Pouerua,Green filter 40kv 8ma,Artefact,CVZ-N,Huruiki,NAP11_392,138.9,35.1,37.7,172.8,11.7,,,,,,,,,,N15/5;Area_II;Quad_D;No.1351;7_1_85
Suco2014842,Pouerua,Green filter 40kv 8ma,Artefact,Northland,Kaeo,NAP11_393,646.7,6.4,203.7,2296.4,300.5,,,,,,,,,,N15/5;Area_II;Quad_D;No.147;30_11_84
Suco2014843,Pouerua,Green filter 40kv 8ma,Artefact,Northland,Kaeo,NAP11_394,643.6,10.3,208.3,2324.2,313.9,,,,,,,,,,N15/5;Area_II;Quad_D;No.158;30_11_84
Suco2014844,Pouerua,Green filter 40kv 8ma,Artefact,Northland,Kaeo,NAP11_395,653.3,10.6,211.1,2327.4,333.3,,,,,,,,,,N15/5;Area_II;Quad_D;No.1307;20_12_84
Suco2014845,Pouerua,Green filter 40kv 8ma,Artefact,Northland,Kaeo,NAP11_396,673.8,5.9,210.3,2357.9,305.7,,,,,,,,,,N15/5;Area_II;Quad_D;No.1315;20_12_84
Suco2014846,Pouerua,Green filter 40kv 8ma,Artefact,Northland,Kaeo,NAP11_397,654.3,7.8,211.0,2328.6,307.5,,,,,,,,,,N15/5;Area_II;Quad_D;No.1323;20_12_84
Suco2014847,Pouerua,Green filter 40kv 8ma,Artefact,Northland,Kaeo,NAP11_398,647.5,9.0,204.6,2287.1,307.5,,,,,,,,,,N15/5;Area_II;Quad_D;No.1450;16_1_85
Suco2014848,Pouerua,Green filter 40kv 8ma,Artefact,Northland,Kaeo,NAP11_399,600.8,6.9,187.2,2137.3,293.1,,,,,,,,,,N15/5;Area_II;Quad_D;No.1479;23_1_85
Suco2014849,Pouerua,Green filter 40kv 8ma,Artefact,Northland,Kaeo,NAP11_400,560.9,5.4,191.0,2067.4,286.0,,,,,,,,,,N15/5;Area_II;Quad_D;No.1480;23_1_85
Suco2014850,Pouerua,Green filter 40kv 8ma,Artefact,Mayor Island,Mayor Island,NAP11_401,118.2,8.2,98.2,1063.8,81.5,,,,,,,,,,N15/5;Area_II;Quad_D;No.1487;24_1_85
Suco2014851,Pouerua,Green filter 40kv 8ma,Artefact,Northland,Kaeo,NAP11_402,633.3,12.9,207.2,2305.1,307.2,,,,,,,,,,N15/5;Area_II;Quad_C;No.17;14_2_85
Suco2014852,Pouerua,Green filter 40kv 8ma,Artefact,Northland,Kaeo,NAP11_403,637.8,10.0,205.8,2272.9,305.5,,,,,,,,,,N15/5;Area_II;Quad_C;No.7;14_2_85
Suco2014853,Pouerua,Green filter 40kv 8ma,Artefact,Northland,Kaeo,NAP11_405,642.1,10.2,212.1,2361.2,322.7,,,,,,,,,,N15/5;Area_II;Quad_C;No.1467;16_1_85
Suco2014854,Pouerua,Green filter 40kv 8ma,Artefact,Northland,Kaeo,NAP11_406,680.6,7.8,202.5,2404.1,311.0,,,,,,,,,,N15/5;Area_II;Quad_C;No.1422;15_1_85
Suco2014855,Pouerua,Green filter 40kv 8ma,Artefact,CVZ-N,Huruiki,NAP11_407,136.0,39.7,39.5,175.2,11.2,,,,,,,,,,N15/5;Area_II;Quad_C;No.1389;14_1_85
Suco2014856,Pouerua,Green filter 40kv 8ma,Artefact,Northland,Kaeo,NAP11_408,687.9,6.6,208.1,2389.4,328.0,,,,,,,,,,N15/5;Area_II;Quad_C;No.16;14_2_85
Suco2014857,Pouerua,Green filter 40kv 8ma,Artefact,Northland,Kaeo,NAP11_409,659.2,8.2,222.2,2361.7,318.3,,,,,,,,,,N15/5;Area_II;Quad_C;No.8;14_2_85
Suco2014858,Pouerua,Green filter 40kv 8ma,Artefact,CVZ-N,Huruiki,NAP11_410,149.9,43.4,39.7,170.3,12.3,,,,,,,,,,N15/5;Area_II;Quad_C;No.1388;14_1_85
Suco2014859,Pouerua,Green filter 40kv 8ma,Artefact,Northland,Kaeo,NAP11_411,661.4,12.1,221.7,2421.8,331.5,,,,,,,,,,N15/5;(Area_II;Quad_D)?;Trench_II;No.1506;5_2_85
Suco2014860,Pouerua,Green filter 40kv 8ma,Artefact,Northland,Kaeo,NAP11_412,631.9,8.9,201.1,2278.0,301.8,,,,,,,,,,N15/5;(Area_II;Quad_D)?;Trench_II;No.1505;5_2_85
Suco2014861,Pouerua,Green filter 40kv 8ma,Artefact,Northland,Kaeo,NAP11_413,649.0,9.3,195.8,2232.3,290.4,,,,,,,,,,N15/5;(Area_II;Quad_D)?;Trench_II;No.1504;5_2_85
Suco2014862,Pouerua,Green filter 40kv 8ma,Artefact,CVZ-N,Huruiki,NAP11_414,137.2,37.7,36.9,155.6,12.7,,,,,,,,,,N15/5;(Area_II;Quad_D)?;Trench_II;No.1503;5_2_85
Suco2014863,Pouerua,Green filter 40kv 8ma,Artefact,Northland,Kaeo,NAP11_415,653.0,6.0,211.0,2241.3,289.1,,,,,,,,,,N15/5;Area_II;Quad_D;Trench_II;No.1500;4_2_85
Suco2014864,Pouerua,Green filter 40kv 8ma,Artefact,Northland,Kaeo,NAP11_416,588.6,6.7,187.8,2056.5,277.4,,,,,,,,,,N15/5;Area_III;Trench_II;No.127;16_1_85
Suco2014865,Pouerua,Green filter 40kv 8ma,Artefact,Northland,Kaeo,NAP11_417,588.6,7.1,184.6,2063.5,275.4,,,,,,,,,,N15/5;Area_III;Trench_II;No.118;16_1_85
Suco2014866,Pouerua,Green filter 40kv 8ma,Artefact,Northland,Kaeo,NAP11_418,668.4,7.9,201.8,2343.0,304.9,,,,,,,,,,N15/5;Area_III;Trench_I;No.96;16_1_85
Suco2014867,Pouerua,Green filter 40kv 8ma,Artefact,Northland,Kaeo,NAP11_419,638.8,5.9,194.4,2255.4,302.8,,,,,,,,,,N15/5;Area_III;Trench_I;No.92;16_1_85
Suco2014868,Pouerua,Green filter 40kv 8ma,Artefact,Northland,Kaeo,NAP11_420,661.5,6.7,201.9,2310.0,315.0,,,,,,,,,,N15/5;Area_III;Trench_I;No.89;16_1_85
Suco2014869,Pouerua,Green filter 40kv 8ma,Artefact,Northland,Kaeo,NAP11_421,631.4,6.3,198.6,2232.2,292.7,,,,,,,,,,N15/5;Area_III;Trench_II;No.45;15_1_85
Suco2014870,Pouerua,Green filter 40kv 8ma,Artefact,Northland,Kaeo,NAP11_422,621.9,5.3,209.3,2279.3,295.8,,,,,,,,,,N15/5;Area_III;Trench_II;No.44;15_1_85
Suco2014871,Pouerua,Green filter 40kv 8ma,Artefact,Northland,Kaeo,NAP11_423,605.3,5.9,206.8,2201.3,291.9,,,,,,,,,,N15/5;Area_III;Trench_I;No.38;15_1_85
Suco2014872,Pouerua,Green filter 40kv 8ma,Artefact,Northland,Kaeo,NAP11_424,619.0,8.5,212.9,2249.7,308.5,,,,,,,,,,N15/5;Area_III;Trench_I;No.35;15_1_85
Suco2014873,Pouerua,Green filter 40kv 8ma,Artefact,Mayor Island,Mayor Island,NAP11_425,157.6,16.4,97.2,999.8,73.6,,,,,,,,,,N15/5;Area_III;Trench_II;No.28;15_1_85
Suco2014874,Pouerua,Green filter 40kv 8ma,Artefact,Northland,Kaeo,NAP11_426,562.9,6.9,170.9,1922.0,271.3,,,,,,,,,,N15/5;Area_III;Quad_Y;No.7;29_1_85
Suco2014875,Pouerua,Green filter 40kv 8ma,Artefact,Northland,Kaeo,NAP11_427,615.5,11.5,193.3,2238.9,308.0,,,,,,,,,,N15/5;Area_III;Quad_Y;No.54;21_2_85
Suco2014876,Pouerua,Green filter 40kv 8ma,Artefact,Northland,Kaeo,NAP11_428,638.7,7.5,196.3,2252.4,299.7,,,,,,,,,,N15/5;Area_III;Quad_Y;No.6;29_1_85
Suco2014877,Pouerua,Green filter 40kv 8ma,Artefact,Northland,Kaeo,NAP11_429,682.8,7.0,220.4,2404.6,324.2,,,,,,,,,,N15/5;Area_III;Quad_Z;No.161;7_2_85
Suco2014878,Pouerua,Green filter 40kv 8ma,Artefact,Northland,Kaeo,NAP11_430,639.2,13.6,201.0,2353.1,307.3,,,,,,,,,,N15/5;Area_III;Quad_Z;No.172;11_2_85
Suco2014879,Pouerua,Green filter 40kv 8ma,Artefact,Mayor Island,Mayor Island,NAP11_431,156.6,11.6,102.0,1117.8,81.7,,,,,,,,,,N15/5;Area_III;Quad_Z;No.170;11_2_85
Suco2014880,Pouerua,Green filter 40kv 8ma,Artefact,Northland,Kaeo,NAP11_432,658.9,7.7,209.1,2370.7,325.5,,,,,,,,,,N15/5;Area_III;Quad_Z;No.105;30_1_85
Suco2014881,Pouerua,Green filter 40kv 8ma,Artefact,CVZ-N,Huruiki,NAP11_433,142.6,39.7,35.7,153.6,10.9,,,,,,,,,,N15/5;Area_III;Quad_Z;No.69;23_1_85
Suco2014882,Pouerua,Green filter 40kv 8ma,Artefact,Northland,Kaeo,NAP11_434,648.0,9.5,198.9,2292.6,307.9,,,,,,,,,,"N15/5;Marae_house;Quad_A;No.539;4_2_85;(card_in_bag;""Utilized_obsidian_Site_5_Area_4"")"
Suco2014883,Pouerua,Green filter 40kv 8ma,Artefact,Northland,Kaeo,NAP11_436,649.1,9.1,207.2,2297.1,318.4,,,,,,,,,,N15/5;Marae_house;Quad_A;No.534
Suco2014884,Pouerua,Green filter 40kv 8ma,Artefact,Northland,Kaeo,NAP11_437,626.4,8.2,198.9,2276.8,301.4,,,,,,,,,,N15/5;Marae_house;Quad_A;No.532;_2_85
Suco2014885,Pouerua,Green filter 40kv 8ma,Artefact,Northland,Kaeo,NAP11_438,670.4,8.0,190.3,2272.0,309.7,,,,,,,,,,N15/5;Marae_house;Quad_A;No.538;_2_85
Suco2014886,Pouerua,Green filter 40kv 8ma,Artefact,Northland,Kaeo,NAP11_439,667.1,7.3,210.3,2377.6,332.2,,,,,,,,,,N15/5;Marae_house;Quad_A;No.545;4_2_85
Suco2014887,Pouerua,Green filter 40kv 8ma,Artefact,Northland,Kaeo,NAP11_440,602.7,7.4,190.2,2182.8,301.6,,,,,,,,,,N15/5;Marae_house;Quad_A;No.622;_2_85
Suco2014888,Pouerua,Green filter 40kv 8ma,Artefact,Northland,Kaeo,NAP11_441,633.7,8.1,199.8,2333.1,313.5,,,,,,,,,,N15/5;Marae_house;Quad_A;No.665;5_2_85
Suco2014889,Pouerua,Green filter 40kv 8ma,Artefact,Northland,Kaeo,NAP11_442,652.4,8.2,207.2,2307.3,306.7,,,,,,,,,,N15/5;Marae_house;Quad_A;No.703;7_2_85
Suco2014890,Pouerua,Green filter 40kv 8ma,Artefact,CVZ-N,Huruiki,NAP11_443,134.6,35.0,39.0,159.2,10.7,,,,,,,,,,N15/5;Marae_house;Quad_A;No.595;5_2_85
Suco2014891,Pouerua,Green filter 40kv 8ma,Artefact,Northland,Kaeo,NAP11_444,606.1,8.4,192.6,2198.1,305.2,,,,,,,,,,N15/5;Marae_house;Quad_A;No.535;_2_85
Suco2014892,Pouerua,Green filter 40kv 8ma,Artefact,Northland,Kaeo,NAP11_445,600.3,8.9,195.2,2215.6,301.0,,,,,,,,,,N15/5;Marae_house;Quad_A;No.705;7_2_85
Suco2014893,Pouerua,Green filter 40kv 8ma,Artefact,Northland,Kaeo,NAP11_446,663.4,10.0,210.1,2269.0,316.2,,,,,,,,,,N15/5;Marae_house;Quad_A;No.504;4_2_85
Suco2014894,Pouerua,Green filter 40kv 8ma,Artefact,Northland,Kaeo,NAP11_447,656.9,8.1,204.3,2282.6,317.7,,,,,,,,,,N15/5;Marae_house;Quad_A;No.516;4_2_85
Suco2014895,Pouerua,Green filter 40kv 8ma,Artefact,Northland,Kaeo,NAP11_448,610.2,8.5,199.5,2188.4,291.7,,,,,,,,,,N15/5;Marae_house;Quad_A;No.691;7_2_85
Suco2014896,Pouerua,Green filter 40kv 8ma,Artefact,Northland,Kaeo,NAP11_449,676.7,8.0,204.2,2360.1,310.1,,,,,,,,,,N15/5;Marae_house;Quad_A;No.689;7_2_85
Suco2014897,Pouerua,Green filter 40kv 8ma,Artefact,Northland,Kaeo,NAP11_450,656.4,7.7,199.3,2324.1,313.2,,,,,,,,,,N15/5;Marae_house;Quad_A;No.669;5_2_85
Suco2014898,Pouerua,Green filter 40kv 8ma,Artefact,Northland,Kaeo,NAP11_451,647.3,10.3,203.5,2316.0,299.0,,,,,,,,,,N15/5;Marae_house;Quad_A;No.663;5_2_85
Suco2014899,Pouerua,Green filter 40kv 8ma,Artefact,Northland,Kaeo,NAP11_452,672.4,8.6,213.4,2328.8,307.4,,,,,,,,,,N15/5;Marae_house;Quad_A;No.651;5_2_85
Suco2014900,Pouerua,Green filter 40kv 8ma,Artefact,CVZ-N,Huruiki,NAP11_453,139.5,36.7,39.3,166.8,9.8,,,,,,,,,,N15/5;Marae_house;Quad_A;No.547;4_2_85
Suco2014901,Pouerua,Green filter 40kv 8ma,Artefact,Northland,Kaeo,NAP11_454,640.9,11.9,192.9,2195.7,291.5,,,,,,,,,,N15/5;Marae_house;Quad_A;No.517;4_2_85
Suco2014902,Pouerua,Green filter 40kv 8ma,Artefact,Northland,Kaeo,NAP11_455,707.6,12.3,209.9,2433.7,323.5,,,,,,,,,,N15/5;Marae_house;Quad_A;No.666;5_2_85
Suco2014903,Pouerua,Green filter 40kv 8ma,Artefact,Northland,Kaeo,NAP11_456,618.6,8.1,174.7,2230.5,295.8,,,,,,,,,,N15/5;Marae_house;Quad_A;No.661;5_2_85
Suco2014904,Pouerua,Green filter 40kv 8ma,Artefact,Northland,Kaeo,NAP11_457,658.2,8.0,217.1,2440.5,322.5,,,,,,,,,,N15/5;Marae_house;Quad_A;No.645;_2_85
Suco2014905,Pouerua,Green filter 40kv 8ma,Artefact,Northland,Kaeo,NAP11_458,568.4,9.2,179.5,2014.9,278.2,,,,,,,,,,N15/5;Marae_house;Quad_A;No.637a;6_2_85
Suco2014906,Pouerua,Green filter 40kv 8ma,Artefact,Northland,Kaeo,NAP11_459,680.5,7.8,199.5,2371.6,322.5,,,,,,,,,,N15/5;Marae_house;Quad_A;No.631;5_2_85
Suco2014907,Pouerua,Green filter 40kv 8ma,Artefact,Northland,Kaeo,NAP11_460,661.3,8.6,221.4,2337.3,319.3,,,,,,,,,,N15/5;Marae_house;Quad_A;No.624;5_2_85
Suco2014908,Pouerua,Green filter 40kv 8ma,Artefact,Northland,Kaeo,NAP11_461,637.8,11.1,211.1,2368.3,320.5,,,,,,,,,,N15/5;Marae_house;Quad_A;No.602;5_2_85
Suco2014909,Pouerua,Green filter 40kv 8ma,Artefact,Northland,Kaeo,NAP11_462,614.5,5.7,196.4,2215.9,314.1,,,,,,,,,,N15/5;Marae_house;Quad_A;No.599;5_2_85
Suco2014910,Pouerua,Green filter 40kv 8ma,Artefact,CVZ-N,Huruiki,NAP11_463,134.6,35.0,32.6,158.2,12.1,,,,,,,,,,N15/5;Marae_house;Quad_A;No.598;4_2_85
Suco2014911,Pouerua,Green filter 40kv 8ma,Artefact,Northland,Kaeo,NAP11_464,675.4,7.9,219.6,2385.1,323.2,,,,,,,,,,N15/5;Marae_house;Quad_A;No.573;_2_85
Suco2014912,Pouerua,Green filter 40kv 8ma,Artefact,Northland,Kaeo,NAP11_465,587.1,9.7,183.8,2079.7,279.8,,,,,,,,,,N15/5;Marae_house;Quad_A;No.569;_2_85
Suco2014913,Pouerua,Green filter 40kv 8ma,Artefact,Northland,Kaeo,NAP11_466,652.6,8.3,200.4,2357.7,316.2,,,,,,,,,,N15/5;Marae_house;Quad_A;No.570;_2_85
Suco2014914,Pouerua,Green filter 40kv 8ma,Artefact,Northland,Kaeo,NAP11_467,592.0,6.5,187.0,2108.6,289.0,,,,,,,,,,N15/5;Marae_house;Quad_A;No.566;4_2_85
Suco2014915,Pouerua,Green filter 40kv 8ma,Artefact,Northland,Kaeo,NAP11_468,609.4,5.6,199.1,2243.1,293.7,,,,,,,,,,N15/5;Marae_house;Quad_A;No.555;5_2_85
Suco2014916,Pouerua,Green filter 40kv 8ma,Artefact,CVZ-N,Huruiki,NAP11_469,130.2,35.8,35.3,157.8,10.2,,,,,,,,,,N15/5;Marae_house;Quad_A;No.551;4_2_85
Suco2014917,Pouerua,Green filter 40kv 8ma,Artefact,Northland,Kaeo,NAP11_470,656.0,7.0,212.5,2351.4,315.0,,,,,,,,,,N15/5;Marae_house;Quad_A;No.533;_2_85
Suco2014918,Pouerua,Green filter 40kv 8ma,Artefact,Northland,Kaeo,NAP11_471,675.6,7.8,209.0,2379.0,314.1,,,,,,,,,,N15/5;Marae_house;Quad_B;No.1288;13_2_85
Suco2014919,Pouerua,Green filter 40kv 8ma,Artefact,CVZ-N,Huruiki,NAP11_472,122.1,31.6,30.3,180.8,10.0,,,,,,,,,,N15/5;Marae_house;Quad_B;No.1246;12_2_85
Suco2014920,Pouerua,Green filter 40kv 8ma,Artefact,Northland,Kaeo,NAP11_473,595.2,9.2,181.4,2041.9,296.9,,,,,,,,,,N15/5;Marae_house;Quad_B;No.1234;12_2_85
Suco2014921,Pouerua,Green filter 40kv 8ma,Artefact,Northland,Kaeo,NAP11_474,629.0,6.7,209.0,2272.2,313.0,,,,,,,,,,N15/5;Marae_house;Quad_B;No.1218;12_2_85
Suco2014922,Pouerua,Green filter 40kv 8ma,Artefact,Northland,Kaeo,NAP11_475,681.3,8.1,205.8,2325.8,306.1,,,,,,,,,,N15/5;Marae_house;Quad_B;No.1217;12_2_85
Suco2014923,Pouerua,Green filter 40kv 8ma,Artefact,Northland,Kaeo,NAP11_476,649.9,7.1,227.1,2352.8,309.8,,,,,,,,,,N15/5;Marae_house;Quad_B;No.1216;12_2_85
Suco2014924,Pouerua,Green filter 40kv 8ma,Artefact,Northland,Kaeo,NAP11_477,731.1,10.0,223.0,2520.9,323.8,,,,,,,,,,N15/5;Marae_house;Quad_B;No.1210;12_2_85
Suco2014925,Pouerua,Green filter 40kv 8ma,Artefact,Northland,Kaeo,NAP11_478,681.2,8.8,221.6,2370.5,340.0,,,,,,,,,,N15/5;Marae_house;Quad_B;No.1200;12_2_85
Suco2014926,Pouerua,Green filter 40kv 8ma,Artefact,Northland,Kaeo,NAP11_479,708.9,9.5,214.9,2481.6,335.2,,,,,,,,,,N15/5;Marae_house;Quad_B;No.1164;12_2_85
Suco2014927,Pouerua,Green filter 40kv 8ma,Artefact,Northland,Kaeo,NAP11_480,638.7,6.8,204.1,2254.9,305.3,,,,,,,,,,N15/5;Marae_house;Quad_B;No.1170;12_2_85
